DATE_OF_DATA_POINT,LAG_DATA,ACTUAL_VALUE_HORIZON,PREDICTED_VALUE_HORIZON,MAPE_OF_THIS_DATA_POINT
2020-03-04 16:00:00+00:00,"[np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544)]","[np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438)]","[np.float32(0.7282343), np.float32(0.7268394), np.float32(0.7235724), np.float32(0.722345), np.float32(0.72252405), np.float32(0.7224728), np.float32(0.72455907), np.float32(0.72744405), np.float32(0.72876334), np.float32(0.7300063), np.float32(0.7307555), np.float32(0.73133737)]",16.53573675530888
2020-03-04 17:00:00+00:00,"[np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764)]","[np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733)]","[np.float32(0.7277734), np.float32(0.7263799), np.float32(0.7231134), np.float32(0.7218851), np.float32(0.7220619), np.float32(0.7220088), np.float32(0.72409165), np.float32(0.72697234), np.float32(0.7282876), np.float32(0.72952604), np.float32(0.73027396), np.float32(0.73085475)]",16.240703376318606
2020-03-04 18:00:00+00:00,"[np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739)]","[np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786)]","[np.float32(0.7277619), np.float32(0.72636837), np.float32(0.7231019), np.float32(0.7218735), np.float32(0.7220503), np.float32(0.72199726), np.float32(0.7240799), np.float32(0.72696054), np.float32(0.7282757), np.float32(0.72951406), np.float32(0.7302619), np.float32(0.7308426)]",15.172399020019903
2020-03-04 19:00:00+00:00,"[np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737)]","[np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941)]","[np.float32(0.7280462), np.float32(0.7266518), np.float32(0.723385), np.float32(0.7221572), np.float32(0.7223353), np.float32(0.72228336), np.float32(0.7243682), np.float32(0.72725147), np.float32(0.7285691), np.float32(0.72981024), np.float32(0.7305589), np.float32(0.7311403)]",15.088376441754162
2020-03-04 20:00:00+00:00,"[np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951)]","[np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941), np.float64(0.8419962520958675)]","[np.float32(0.72829974), np.float32(0.7269046), np.float32(0.72363746), np.float32(0.7224102), np.float32(0.7225896), np.float32(0.7225386), np.float32(0.72462535), np.float32(0.727511), np.float32(0.7288308), np.float32(0.7300744), np.float32(0.73082376), np.float32(0.73140585)]",15.712163581843347
2020-03-04 21:00:00+00:00,"[np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188)]","[np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941), np.float64(0.8419962520958675), np.float64(0.8232567314330801)]","[np.float32(0.7287491), np.float32(0.7273527), np.float32(0.72408503), np.float32(0.72285867), np.float32(0.7230403), np.float32(0.722991), np.float32(0.7250812), np.float32(0.727971), np.float32(0.72929466), np.float32(0.73054266), np.float32(0.7312934), np.float32(0.73187655)]",16.442231713874296
2020-03-04 22:00:00+00:00,"[np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129)]","[np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941), np.float64(0.8419962520958675), np.float64(0.8232567314330801), np.float64(0.816056810336325)]","[np.float32(0.72937906), np.float32(0.72798085), np.float32(0.7247124), np.float32(0.72348726), np.float32(0.72367203), np.float32(0.7236251), np.float32(0.72572017), np.float32(0.7286158), np.float32(0.72994494), np.float32(0.73119915), np.float32(0.73195153), np.float32(0.73253626)]",16.87495538969964
2020-03-04 23:00:00+00:00,"[np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877)]","[np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941), np.float64(0.8419962520958675), np.float64(0.8232567314330801), np.float64(0.816056810336325), np.float64(0.8165499556169247)]","[np.float32(0.7297286), np.float32(0.72832936), np.float32(0.72506046), np.float32(0.72383606), np.float32(0.7240225), np.float32(0.72397697), np.float32(0.7260747), np.float32(0.7289736), np.float32(0.73030573), np.float32(0.7315633), np.float32(0.73231673), np.float32(0.7329023)]",16.639158330578883
2020-03-05 00:00:00+00:00,"[np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522)]","[np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941), np.float64(0.8419962520958675), np.float64(0.8232567314330801), np.float64(0.816056810336325), np.float64(0.8165499556169247), np.float64(0.7971200315612978)]","[np.float32(0.7297901), np.float32(0.7283907), np.float32(0.72512174), np.float32(0.72389734), np.float32(0.72408414), np.float32(0.72403884), np.float32(0.72613704), np.float32(0.7290365), np.float32(0.73036915), np.float32(0.73162735), np.float32(0.732381), np.float32(0.73296666)]",15.674609894191654
2020-03-05 01:00:00+00:00,"[np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065)]","[np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941), np.float64(0.8419962520958675), np.float64(0.8232567314330801), np.float64(0.816056810336325), np.float64(0.8165499556169247), np.float64(0.7971200315612978), np.float64(0.7958378538317388)]","[np.float32(0.72984), np.float32(0.72844046), np.float32(0.72517145), np.float32(0.72394717), np.float32(0.7241342), np.float32(0.7240891), np.float32(0.7261877), np.float32(0.7290876), np.float32(0.7304207), np.float32(0.7316794), np.float32(0.7324331), np.float32(0.733019)]",14.32465037248242
