DATE_OF_DATA_POINT,LAG_DATA,ACTUAL_VALUE_HORIZON,PREDICTED_VALUE_HORIZON,MAPE_OF_THIS_DATA_POINT,DENORM_ACTUAL_VALUE_HORIZON,DENORM_PREDICTED_VALUE_HORIZON,DENORM_MAPE_OF_THIS_DATA_POINT
2020-03-04 05:00:00+00:00,"[np.float64(0.7377453397770983), np.float64(0.8272018936778776), np.float64(0.866258999901371), np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252)]","[0.751553407633889, 0.8273991517901174, 0.8511687543150213, 0.8384456060755499, 0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733]","[0.7480286, 0.74727005, 0.74473816, 0.7441852, 0.7444218, 0.74433863, 0.74393106, 0.742903, 0.7410536, 0.7399607, 0.7386087, 0.7383385, 0.73827267, 0.73670435, 0.73418695, 0.7313261, 0.7296661, 0.72791463, 0.7267747, 0.72523814, 0.7234516, 0.7214462, 0.7193891, 0.7182102]",12.488748568327766,"[8284.000000000002, 9053.000000000002, 9294.000000000002, 9165.000000000002, 9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001]","[8248.2619754, 8240.571036950001, 8214.90020424, 8209.2937428, 8211.692630200001, 8210.84936957, 8206.71701734, 8196.293517, 8177.542450399999, 8166.4615373, 8152.7536093, 8150.014051500001, 8149.346601130001, 8133.44540465, 8107.921486050001, 8078.915327900001, 8062.084587900001, 8044.32643357, 8032.768683300001, 8017.1895014599995, 7999.0757724000005, 7978.7430218, 7957.8860849, 7945.9332178]",11.402668628069526
2020-03-04 06:00:00+00:00,"[np.float64(0.8272018936778776), np.float64(0.866258999901371), np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889)]","[0.8273991517901174, 0.8511687543150213, 0.8384456060755499, 0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786]","[0.7485368, 0.7477797, 0.7452505, 0.7447061, 0.74495465, 0.74488235, 0.7444855, 0.7434671, 0.7416262, 0.7405465, 0.739202, 0.7389428, 0.7388836, 0.73731947, 0.7347977, 0.73193204, 0.7302644, 0.72849506, 0.7273463, 0.7257936, 0.7239909, 0.721969, 0.71989775, 0.7187083]",12.762060854057763,"[9053.000000000002, 9294.000000000002, 9165.000000000002, 9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002]","[8253.4146152, 8245.7383783, 8220.094819500002, 8214.575147900001, 8217.095196350001, 8216.36214665, 8212.3384845, 8202.0129269, 8183.348041800001, 8172.400963500001, 8158.769078, 8156.141049200001, 8155.5408204, 8139.682106329999, 8114.113880299999, 8085.058953560001, 8068.150751600001, 8050.211413340001, 8038.564135700001, 8022.8213104000015, 8004.543735100001, 7984.043691, 7963.04328725, 7950.9834537]",11.651534620957179
2020-03-04 07:00:00+00:00,"[np.float64(0.866258999901371), np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174)]","[0.8511687543150213, 0.8384456060755499, 0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941]","[0.7485441, 0.747787, 0.74525785, 0.74471354, 0.7449623, 0.7448901, 0.74449337, 0.74347514, 0.74163437, 0.74055487, 0.7392105, 0.73895144, 0.7388923, 0.7373283, 0.7348065, 0.73194075, 0.73027295, 0.72850335, 0.72735447, 0.7258016, 0.7239986, 0.7219764, 0.719905, 0.7187154]",12.98539602408112,"[9294.000000000002, 9165.000000000002, 9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0]","[8253.4886299, 8245.812393, 8220.169341150002, 8214.650582060001, 8217.172759699999, 8216.4407239, 8212.418278430001, 8202.09444446, 8183.43087743, 8172.485826930001, 8158.855259500001, 8156.22865016, 8155.6290297, 8139.7716337, 8114.2031035, 8085.14726425, 8068.237440050001, 8050.295465650001, 8038.646971329999, 8022.902422400001, 8004.621805400001, 7984.118719600001, 7963.116795000001, 7951.055440600001]",11.856258197382468
2020-03-04 08:00:00+00:00,"[np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213)]","[0.8384456060755499, 0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675]","[0.74798864, 0.74723, 0.7446979, 0.7441443, 0.74437994, 0.74429595, 0.7438875, 0.74285865, 0.7410086, 0.73991466, 0.738562, 0.73829097, 0.7382246, 0.73665607, 0.73413897, 0.73127854, 0.7296191, 0.727869, 0.72672975, 0.7251945, 0.7234093, 0.72140515, 0.71934915, 0.71817106]",13.146654544156716,"[9165.000000000002, 9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002]","[8247.856820960002, 8240.16497, 8214.492008100002, 8208.8790577, 8211.26821166, 8210.41663705, 8206.2753625, 8195.843852349999, 8177.086195400001, 8165.99473774, 8152.280118000001, 8149.532144830001, 8148.8592194, 8132.955893730001, 8107.435016829999, 8078.43311706, 8061.6080549, 8043.863791, 8032.312935249999, 8016.7470355000005, 7998.6468927000005, 7978.326815850001, 7957.481031850001, 7945.53637734]",12.003857864957771
2020-03-04 09:00:00+00:00,"[np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499)]","[0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801]","[0.74654365, 0.7457812, 0.74324137, 0.7426635, 0.7428651, 0.7427505, 0.74231136, 0.7412549, 0.7393807, 0.7382492, 0.7368752, 0.73657286, 0.73648787, 0.7349075, 0.7324027, 0.7295559, 0.7279183, 0.72621894, 0.7251047, 0.72361535, 0.7218763, 0.71991897, 0.71790326, 0.71675503]",13.268887225781684,"[9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0]","[8233.206067350002, 8225.4755868, 8199.724250430001, 8193.8652265, 8195.9092489, 8194.7473195, 8190.2948790400005, 8179.583431100001, 8160.5809173, 8149.108638800001, 8135.177652799999, 8132.112227539999, 8131.25051393, 8115.227142500002, 8089.8309753, 8060.967270100002, 8044.363643700001, 8027.13383266, 8015.836553300001, 8000.7360336500005, 7983.1038057000005, 7963.25843683, 7942.82115314, 7931.17924917]",12.116429065859098
2020-03-04 10:00:00+00:00,"[np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286)]","[0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325]","[0.74489534, 0.74412847, 0.7415799, 0.7409744, 0.74113715, 0.74098766, 0.74051344, 0.73942554, 0.7375238, 0.73634946, 0.734951, 0.73461306, 0.73450667, 0.7329129, 0.73042214, 0.72759086, 0.72597826, 0.7243367, 0.723251, 0.7218139, 0.72012764, 0.7182237, 0.71625394, 0.71513975]",13.334114158388749,"[9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0]","[8216.49385226, 8208.71855733, 8182.878606099999, 8176.739441600002, 8178.38956385, 8176.873884740002, 8172.0657681600005, 8161.035550060002, 8141.7538082, 8129.847174940001, 8115.668189, 8112.241815340001, 8111.163127130001, 8095.0038931, 8069.75007746, 8041.04372954, 8024.693578140001, 8008.0498013000015, 7997.041888999999, 7982.4711320999995, 7965.374141959999, 7946.070094300001, 7926.09869766, 7914.80192525]",12.176201586982623
2020-03-04 11:00:00+00:00,"[np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102)]","[0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325, 0.8165499556169247]","[0.7433414, 0.74257046, 0.7400136, 0.739382, 0.73950815, 0.73932576, 0.73881847, 0.73770094, 0.7357732, 0.7345585, 0.73313713, 0.7327655, 0.73263896, 0.7310325, 0.728555, 0.7257384, 0.7241493, 0.72256225, 0.7215035, 0.7201158, 0.71847916, 0.7166256, 0.7146991, 0.71361697]",13.409525531387692,"[9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0, 8943.0]","[8200.738454600001, 8192.921893940002, 8166.9978904, 8160.5940980000005, 8161.873132850002, 8160.023880640001, 8154.880467330001, 8143.549830659999, 8124.0044748, 8111.6886315, 8097.2773610700015, 8093.5094045000005, 8092.226415439999, 8075.938517500001, 8050.8191449999995, 8022.261637600001, 8006.1497527, 7990.058652750001, 7979.3239865, 7965.254096199999, 7948.6602032400015, 7929.866958400001, 7910.334174900001, 7899.36245883]",12.245422765002283
2020-03-04 12:00:00+00:00,"[np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162)]","[0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325, 0.8165499556169247, 0.7971200315612978]","[0.7420452, 0.7412709, 0.73870707, 0.7380538, 0.73814934, 0.7379395, 0.7374047, 0.73626244, 0.7343129, 0.73306453, 0.731624, 0.7312244, 0.73108107, 0.72946405, 0.72699755, 0.7241932, 0.72262365, 0.7210821, 0.7200458, 0.7186992, 0.7171041, 0.71529245, 0.71340215, 0.7123468]",13.43385669283709,"[9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0, 8943.0, 8746.0]","[8187.5962828, 8179.7456551000005, 8153.750982730001, 8147.1274782, 8148.096158259999, 8145.968590500001, 8140.5462533, 8128.96487916, 8109.198493100001, 8096.541269670001, 8081.935736000001, 8077.8841916, 8076.43096873, 8060.036002950002, 8035.02815945, 8006.594854800001, 7990.681187349999, 7975.051411899999, 7964.5443662, 7950.891188799999, 7934.718469900001, 7916.350150550001, 7897.1843988499995, 7886.4842052]",12.266693450167775
2020-03-04 13:00:00+00:00,"[np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403)]","[0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325, 0.8165499556169247, 0.7971200315612978, 0.7958378538317388]","[0.74081814, 0.7400405, 0.7374701, 0.7367962, 0.7368629, 0.736627, 0.7360661, 0.7349005, 0.73293054, 0.73165023, 0.73019147, 0.7297653, 0.7296061, 0.7279791, 0.7255231, 0.7227303, 0.7211793, 0.71968085, 0.7186658, 0.7173581, 0.7158022, 0.7140304, 0.71217424, 0.7111443]",13.48247293280022,"[8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0, 8943.0, 8746.0, 8733.0]","[8175.155121460001, 8167.2706295, 8141.2093439, 8134.3766718, 8135.0529431, 8132.661153, 8126.9741879, 8115.156169500001, 8095.18274506, 8082.201681969999, 8067.411314329999, 8063.090376700001, 8061.476247900001, 8044.980094900001, 8020.078710900001, 7991.762511700002, 7976.036922700001, 7960.8441381500015, 7950.5525462, 7937.293775900001, 7921.518505800001, 7903.554225600001, 7884.734619360001, 7874.2920577]",12.310610335427203
2020-03-04 14:00:00+00:00,"[np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315)]","[0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325, 0.8165499556169247, 0.7971200315612978, 0.7958378538317388, 0.7864680935003452]","[0.7394421, 0.7386608, 0.73608303, 0.7353861, 0.73542035, 0.73515534, 0.73456526, 0.7333733, 0.7313803, 0.7300643, 0.7285851, 0.7281292, 0.7279522, 0.72631395, 0.7238697, 0.72108984, 0.71955967, 0.7181095, 0.71711826, 0.7158543, 0.7143424, 0.71261513, 0.71079737, 0.70979583]",13.56127989798454,"[8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0, 8943.0, 8746.0, 8733.0, 8638.0]","[8161.203451900001, 8153.2818512, 8127.14584117, 8120.0796679000005, 8120.426928649999, 8117.739992260001, 8111.75717114, 8099.671888700001, 8079.464861699999, 8066.121937700001, 8051.124328899999, 8046.5019588000005, 8044.707355800001, 8028.097139050001, 8003.314888299999, 7975.129887759999, 7959.615494130001, 7944.9122205, 7934.86203814, 7922.0467477, 7906.717593600001, 7889.20480307, 7870.774534429999, 7860.619920370001]",12.383128891135463
