DATE_OF_DATA_POINT,LAG_DATA,ACTUAL_VALUE_HORIZON,PREDICTED_VALUE_HORIZON,MAPE_OF_THIS_DATA_POINT,DENORM_ACTUAL_VALUE_HORIZON,DENORM_PREDICTED_VALUE_HORIZON,DENORM_MAPE_OF_THIS_DATA_POINT
2020-03-04 05:00:00+00:00,"[np.float64(0.7377453397770983), np.float64(0.8272018936778776), np.float64(0.866258999901371), np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252)]","[0.751553407633889, 0.8273991517901174, 0.8511687543150213, 0.8384456060755499, 0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733]","[0.7374118, 0.8263639, 0.86171436, 0.8714129, 0.87979496, 0.8749664, 0.85534203, 0.8391314, 0.8286923, 0.80977947, 0.80828035, 0.8293101, 0.84555715, 0.8163972, 0.76160914, 0.6976523, 0.66146207, 0.6285913, 0.59673697, 0.5740165, 0.55752265, 0.54520977, 0.54530174, 0.59634]",2.50425049595998,"[8284.000000000002, 9053.000000000002, 9294.000000000002, 9165.000000000002, 9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001]","[8140.6182401999995, 9042.503582100002, 9400.92189604, 9499.2553931, 9584.24109944, 9535.284329600001, 9336.31284217, 9171.953264599999, 9066.1112297, 8874.35404633, 8859.15446865, 9072.375103900002, 9237.10394385, 8941.4512108, 8385.95507046, 7737.4966697, 7370.563927730001, 7037.287190699999, 6714.316138830001, 6483.9532935, 6316.72214835, 6191.881858030001, 6192.81434186, 6710.29126]",2.293621141210555
2020-03-04 06:00:00+00:00,"[np.float64(0.8272018936778776), np.float64(0.866258999901371), np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889)]","[0.8273991517901174, 0.8511687543150213, 0.8384456060755499, 0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786]","[0.8312536, 0.8679578, 0.8727608, 0.88338387, 0.86933804, 0.85141385, 0.8408799, 0.8341123, 0.8194039, 0.82125026, 0.8382534, 0.8560311, 0.820565, 0.7554256, 0.7004438, 0.6637283, 0.6183213, 0.5849917, 0.5713264, 0.55491865, 0.54321396, 0.55284595, 0.61042404, 0.690961]",3.049189704017297,"[9053.000000000002, 9294.000000000002, 9165.000000000002, 9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002]","[9092.0802504, 9464.2241342, 9512.921751200001, 9620.62905793, 9478.21838756, 9296.485025150001, 9189.681306100001, 9121.0646097, 8971.936142100001, 8990.65638614, 9163.051222600001, 9343.299322900002, 8983.708535000002, 8323.2601584, 7765.799688200001, 7393.541233700002, 6933.159660699999, 6595.230846300001, 6456.678369600001, 6290.320192349999, 6171.64634044, 6269.305087050001, 6853.089341559999, 7669.653579000001]",2.794838582907307
2020-03-04 07:00:00+00:00,"[np.float64(0.866258999901371), np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174)]","[0.8511687543150213, 0.8384456060755499, 0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941]","[0.8496494, 0.85654855, 0.8636184, 0.86085016, 0.84672827, 0.83343565, 0.8266983, 0.8147862, 0.8192466, 0.8445137, 0.85723877, 0.8252113, 0.76152873, 0.70038056, 0.67007554, 0.6243499, 0.5808866, 0.5639131, 0.5508182, 0.5388838, 0.5496024, 0.61307114, 0.7048873, 0.7709924]",2.873237553875956,"[9294.000000000002, 9165.000000000002, 9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0]","[9278.5952666, 9348.54574845, 9420.226957600002, 9392.159772240002, 9248.97792953, 9114.204055350001, 9045.8940637, 8925.1172818, 8970.3412774, 9226.524404300002, 9355.543889030001, 9030.8173707, 8385.139793470002, 7765.158497840001, 7457.895900060002, 6994.2836361, 6553.6092374, 6381.5149209, 6248.7457298, 6127.742848200001, 6236.4187336, 6879.928288460001, 7810.852334700001, 8481.0919436]",2.629127289286042
2020-03-04 08:00:00+00:00,"[np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213)]","[0.8384456060755499, 0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675]","[0.8444326, 0.85463864, 0.85058177, 0.8426211, 0.8329606, 0.82482475, 0.81175315, 0.8075367, 0.82908857, 0.84887075, 0.8224579, 0.7603721, 0.7010385, 0.6586093, 0.62512857, 0.58369917, 0.5548846, 0.54110074, 0.535028, 0.54807675, 0.60544324, 0.69890577, 0.7702515, 0.7941699]",3.12100003007308,"[9165.000000000002, 9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002]","[9225.702131400001, 9329.18117096, 9288.048566030002, 9207.3353329, 9109.3875234, 9026.89814025, 8894.36518785, 8851.614601300002, 9070.12901123, 9270.70053425, 9002.9006481, 8373.4127219, 7771.8293515, 7341.6396927000005, 7002.178571230001, 6582.125884630002, 6289.9749593999995, 6150.220402859999, 6088.648891999999, 6220.9501682499995, 6802.589010360001, 7750.20560203, 8473.5799585, 8716.088616100002]",2.8526851345714146
2020-03-04 09:00:00+00:00,"[np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499)]","[0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801]","[0.83379066, 0.8290118, 0.81722474, 0.8140712, 0.80739456, 0.7969737, 0.79773855, 0.8144611, 0.8328048, 0.8133005, 0.75197256, 0.6908459, 0.6503312, 0.6103705, 0.5784992, 0.5520208, 0.53906626, 0.5338854, 0.550914, 0.6080184, 0.6990692, 0.777893, 0.8095423, 0.80722517]",3.3649402300036817,"[9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0]","[9117.803501740002, 9069.3506402, 8949.84163886, 8917.8678968, 8850.17344384, 8744.5163443, 8752.271158450001, 8921.8210929, 9107.8078672, 8910.0537695, 8288.249785840002, 7668.486580100001, 7257.7080368, 6852.5464995, 6529.4033888, 6260.9388912, 6129.592810140001, 6077.0640706, 6249.717046, 6828.698557600001, 7751.862618799999, 8551.057127, 8871.9493797, 8848.455998630001]",3.0740827770584835
2020-03-04 10:00:00+00:00,"[np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286)]","[0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325]","[0.82907057, 0.8169844, 0.80621624, 0.80790657, 0.80249125, 0.802361, 0.8250578, 0.8379711, 0.8166566, 0.75951993, 0.7043613, 0.66941345, 0.63120806, 0.5924055, 0.5676466, 0.55874884, 0.55218476, 0.56547743, 0.62212276, 0.7132758, 0.7890752, 0.81985974, 0.82227004, 0.81893474]",1.9288401144082967,"[9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0]","[9069.94650923, 8947.4048316, 8838.22645736, 8855.36471323, 8800.45878375, 8799.138179, 9029.2610342, 9160.1889829, 8944.0812674, 8364.77257027, 7805.519220700001, 7451.182969550001, 7063.818520339999, 6670.3993645, 6419.368877400001, 6329.154488760001, 6262.601281640002, 6397.3756627699995, 6971.70266364, 7895.9033362, 8664.4334528, 8976.557903859999, 9000.995935560002, 8967.17932886]",1.767450140869162
2020-03-04 11:00:00+00:00,"[np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102)]","[0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325, 0.8165499556169247]","[0.8130129, 0.8024657, 0.79449844, 0.791072, 0.7911955, 0.8121311, 0.8353256, 0.8128052, 0.75583684, 0.7004145, 0.6600195, 0.62597734, 0.5900609, 0.56200635, 0.54711723, 0.5436133, 0.5612919, 0.61495537, 0.70367205, 0.7844776, 0.8177141, 0.82030904, 0.8213445, 0.81812954]",2.72613004497544,"[9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0, 8943.0]","[8907.1377931, 8800.1997323, 8719.41968316, 8684.679008000001, 8685.9311745, 8898.1972229, 9133.366258400001, 8905.0319228, 8327.429720760001, 7765.5026155000005, 7355.9377105, 7010.784250260001, 6646.627465099999, 6362.182382649999, 6211.221594970001, 6175.695248699999, 6354.9385741, 6899.03249643, 7798.530914950001, 8617.8183864, 8954.8032599, 8981.113356560001, 8991.6118855, 8959.01540606]",2.4962263441290875
2020-03-04 12:00:00+00:00,"[np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162)]","[0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325, 0.8165499556169247, 0.7971200315612978]","[0.811188, 0.79991883, 0.792648, 0.7942413, 0.8167856, 0.8349134, 0.81385183, 0.75588584, 0.69645107, 0.65732634, 0.62239265, 0.5857063, 0.5607203, 0.54758936, 0.5423134, 0.5599927, 0.62479675, 0.7205569, 0.8026896, 0.8324605, 0.8360575, 0.8389607, 0.8390026, 0.8246593]",2.713449397041003,"[9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0, 8943.0, 8746.0]","[8888.635132000001, 8774.377017370001, 8700.658072000002, 8716.8125407, 8945.3891984, 9129.1869626, 8915.64370437, 8327.92653176, 7725.317398730001, 7328.631761260001, 6974.439078349999, 6602.476175700001, 6349.143121699999, 6216.00852104, 6162.5155626, 6341.765985300001, 6998.814248250001, 7969.726409099999, 8802.4698544, 9104.317009500002, 9140.7869925, 9170.2225373, 9170.6473614, 9025.2206427]",2.4830251953282656
2020-03-04 13:00:00+00:00,"[np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403)]","[0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325, 0.8165499556169247, 0.7971200315612978, 0.7958378538317388]","[0.81475544, 0.810106, 0.80961347, 0.8216634, 0.8377203, 0.8073709, 0.75566965, 0.6930207, 0.6631499, 0.6174035, 0.58518565, 0.5633491, 0.55197626, 0.5386747, 0.55630857, 0.62512445, 0.73040354, 0.81473505, 0.84803945, 0.8503609, 0.8546293, 0.8587025, 0.8421939, 0.8334514]",3.065939575430736,"[8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0, 8943.0, 8746.0, 8733.0]","[8924.80540616, 8877.664734000002, 8872.670972330001, 8994.845212600001, 9157.646121700001, 8849.9335551, 8325.734581350001, 7690.5368773, 7387.6768360999995, 6923.8540865, 6597.19730535, 6375.7965249, 6260.487300140001, 6125.622783299999, 6304.41259123, 7002.13679855, 8069.561492060001, 8924.59867195, 9262.271983550001, 9285.8091651, 9329.0864727, 9370.384647500001, 9203.003952100002, 9114.363744600001]",2.808422366564969
2020-03-04 14:00:00+00:00,"[np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315)]","[0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325, 0.8165499556169247, 0.7971200315612978, 0.7958378538317388, 0.7864680935003452]","[0.79778385, 0.80382466, 0.82119536, 0.842457, 0.80462265, 0.7517858, 0.69031656, 0.6620865, 0.6183033, 0.58612114, 0.5618303, 0.55116546, 0.53975236, 0.55581385, 0.61769855, 0.7153834, 0.80299395, 0.8339685, 0.8414104, 0.8399575, 0.8407496, 0.82190764, 0.8103237, 0.79973865]",2.8500062033110107,"[8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0, 8943.0, 8746.0, 8733.0, 8638.0]","[8752.73045515, 8813.978227739999, 8990.09975504, 9205.671523, 8822.06904835, 8286.3562262, 7663.11960184, 7376.895023500001, 6932.9771587000005, 6606.68223846, 6360.397411700001, 6252.266598940001, 6136.549178040002, 6299.3966251500015, 6926.84559845, 7917.2722926, 8805.55565905, 9119.6066215, 9195.060045600001, 9180.3290925, 9188.3601944, 8997.321561960001, 8879.8719943, 8772.55017235]",2.607305387842883
