DATE_OF_DATA_POINT,LAG_DATA,ACTUAL_VALUE_HORIZON,PREDICTED_VALUE_HORIZON,MAPE_OF_THIS_DATA_POINT
2020-03-04 05:00:00+00:00,"[np.float64(0.7377453397770983), np.float64(0.8272018936778776), np.float64(0.866258999901371), np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252)]","[np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733)]","[np.float32(0.7387534), np.float32(0.82828665), np.float32(0.8610059), np.float32(0.870525), np.float32(0.87394196), np.float32(0.8700212), np.float32(0.8587409), np.float32(0.849604), np.float32(0.8359231), np.float32(0.8202112), np.float32(0.8242867), np.float32(0.84057844), np.float32(0.8523917), np.float32(0.8279798), np.float32(0.7705362), np.float32(0.7140882), np.float32(0.67792124), np.float32(0.6371666), np.float32(0.602525), np.float32(0.5844031), np.float32(0.57298696), np.float32(0.5593534), np.float32(0.56288075), np.float32(0.6180322)]",1.970779618773394
2020-03-04 06:00:00+00:00,"[np.float64(0.8272018936778776), np.float64(0.866258999901371), np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889)]","[np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786)]","[np.float32(0.84051085), np.float32(0.878134), np.float32(0.8795539), np.float32(0.88079214), np.float32(0.8768821), np.float32(0.862187), np.float32(0.8517368), np.float32(0.84348977), np.float32(0.8310865), np.float32(0.8350446), np.float32(0.8577602), np.float32(0.86078393), np.float32(0.8303097), np.float32(0.78458965), np.float32(0.7353082), np.float32(0.69201624), np.float32(0.6456536), np.float32(0.59703934), np.float32(0.573483), np.float32(0.5662931), np.float32(0.56508166), np.float32(0.57768714), np.float32(0.6403717), np.float32(0.73114824)]",2.5576159810971704
2020-03-04 07:00:00+00:00,"[np.float64(0.866258999901371), np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174)]","[np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941)]","[np.float32(0.85385084), np.float32(0.8600745), np.float32(0.8604439), np.float32(0.8596127), np.float32(0.8514943), np.float32(0.8381063), np.float32(0.82610387), np.float32(0.8124311), np.float32(0.8114151), np.float32(0.8369743), np.float32(0.85038793), np.float32(0.812758), np.float32(0.75213075), np.float32(0.7114873), np.float32(0.6804205), np.float32(0.6422754), np.float32(0.597042), np.float32(0.56569344), np.float32(0.55396676), np.float32(0.54695666), np.float32(0.5665946), np.float32(0.62536216), np.float32(0.7252623), np.float32(0.7954972)]",2.2186526288950055
2020-03-04 08:00:00+00:00,"[np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213)]","[np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941), np.float64(0.8419962520958675)]","[np.float32(0.85160124), np.float32(0.859773), np.float32(0.8535024), np.float32(0.8414588), np.float32(0.833504), np.float32(0.8192481), np.float32(0.80656517), np.float32(0.81085247), np.float32(0.8296895), np.float32(0.8422412), np.float32(0.818449), np.float32(0.7552151), np.float32(0.7006894), np.float32(0.66534793), np.float32(0.62717307), np.float32(0.5876391), np.float32(0.5621564), np.float32(0.5453074), np.float32(0.53919023), np.float32(0.5580123), np.float32(0.62526417), np.float32(0.7138825), np.float32(0.7844361), np.float32(0.80972797)]",2.618499140063815
2020-03-04 09:00:00+00:00,"[np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499)]","[np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941), np.float64(0.8419962520958675), np.float64(0.8232567314330801)]","[np.float32(0.8441621), np.float32(0.84304833), np.float32(0.8276787), np.float32(0.8135936), np.float32(0.8046849), np.float32(0.7967848), np.float32(0.80494404), np.float32(0.8297306), np.float32(0.83297116), np.float32(0.7967045), np.float32(0.74045944), np.float32(0.68835557), np.float32(0.6547753), np.float32(0.61869735), np.float32(0.5808164), np.float32(0.5524812), np.float32(0.5356264), np.float32(0.52479243), np.float32(0.5459951), np.float32(0.6112522), np.float32(0.70636904), np.float32(0.7760907), np.float32(0.79999644), np.float32(0.7964381)]",3.4515335842263335
2020-03-04 10:00:00+00:00,"[np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286)]","[np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941), np.float64(0.8419962520958675), np.float64(0.8232567314330801), np.float64(0.816056810336325)]","[np.float32(0.8373538), np.float32(0.8244372), np.float32(0.80740607), np.float32(0.80114174), np.float32(0.7998388), np.float32(0.8070186), np.float32(0.8284892), np.float32(0.84168315), np.float32(0.8062195), np.float32(0.7369025), np.float32(0.6850432), np.float32(0.6495573), np.float32(0.6207465), np.float32(0.58384407), np.float32(0.557198), np.float32(0.5419778), np.float32(0.5378402), np.float32(0.5545031), np.float32(0.6184966), np.float32(0.7133604), np.float32(0.7884798), np.float32(0.8152262), np.float32(0.8105347), np.float32(0.809911)]",2.912068724340497
2020-03-04 11:00:00+00:00,"[np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102)]","[np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941), np.float64(0.8419962520958675), np.float64(0.8232567314330801), np.float64(0.816056810336325), np.float64(0.8165499556169247)]","[np.float32(0.81018186), np.float32(0.8011852), np.float32(0.79321253), np.float32(0.7929494), np.float32(0.80856043), np.float32(0.83284414), np.float32(0.8364961), np.float32(0.8008051), np.float32(0.73861814), np.float32(0.6853543), np.float32(0.6565631), np.float32(0.6171706), np.float32(0.5780023), np.float32(0.5530325), np.float32(0.53818285), np.float32(0.526233), np.float32(0.5415342), np.float32(0.6085435), np.float32(0.7014541), np.float32(0.7710067), np.float32(0.79271066), np.float32(0.79775405), np.float32(0.80102575), np.float32(0.79686594)]",3.9539107299034204
2020-03-04 12:00:00+00:00,"[np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162)]","[np.float64(0.8230594733208403), np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941), np.float64(0.8419962520958675), np.float64(0.8232567314330801), np.float64(0.816056810336325), np.float64(0.8165499556169247), np.float64(0.7971200315612978)]","[np.float32(0.8286784), np.float32(0.8130644), np.float32(0.7998905), np.float32(0.8195474), np.float32(0.8503691), np.float32(0.8561272), np.float32(0.81280154), np.float32(0.75383276), np.float32(0.71136034), np.float32(0.67287564), np.float32(0.62999374), np.float32(0.5888133), np.float32(0.57338375), np.float32(0.5609534), np.float32(0.5502126), np.float32(0.5647942), np.float32(0.6356479), np.float32(0.7321899), np.float32(0.80210096), np.float32(0.83333224), np.float32(0.8396019), np.float32(0.84015185), np.float32(0.8244784), np.float32(0.8134061)]",1.9190516517687315
2020-03-04 13:00:00+00:00,"[np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403)]","[np.float64(0.8066870500049315), np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941), np.float64(0.8419962520958675), np.float64(0.8232567314330801), np.float64(0.816056810336325), np.float64(0.8165499556169247), np.float64(0.7971200315612978), np.float64(0.7958378538317388)]","[np.float32(0.81346965), np.float32(0.8114753), np.float32(0.82668984), np.float32(0.85640264), np.float32(0.85760933), np.float32(0.8215933), np.float32(0.75931406), np.float32(0.7070919), np.float32(0.6697564), np.float32(0.6336686), np.float32(0.5945835), np.float32(0.5677439), np.float32(0.5530834), np.float32(0.54664236), np.float32(0.56476176), np.float32(0.6277242), np.float32(0.727929), np.float32(0.8139186), np.float32(0.8491959), np.float32(0.8444733), np.float32(0.83867204), np.float32(0.8402294), np.float32(0.8334343), np.float32(0.8074851)]",2.2377394996478626
2020-03-04 14:00:00+00:00,"[np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315)]","[np.float64(0.8030377749284938), np.float64(0.8023473715356544), np.float64(0.8286813295196764), np.float64(0.8618206923759739), np.float64(0.8326264917644737), np.float64(0.7718709931945951), np.float64(0.7076634776605188), np.float64(0.6868527468192129), np.float64(0.6357628957490877), np.float64(0.5994674030969522), np.float64(0.5784594141434065), np.float64(0.57342933228129), np.float64(0.563369168557057), np.float64(0.5826018345004438), np.float64(0.6569681428148733), np.float64(0.7668409113324786), np.float64(0.8322319755399941), np.float64(0.8419962520958675), np.float64(0.8232567314330801), np.float64(0.816056810336325), np.float64(0.8165499556169247), np.float64(0.7971200315612978), np.float64(0.7958378538317388), np.float64(0.7864680935003452)]","[np.float32(0.7837528), np.float32(0.8034964), np.float32(0.8252944), np.float32(0.83433414), np.float32(0.7961887), np.float32(0.7420514), np.float32(0.6941629), np.float32(0.65899146), np.float32(0.61794996), np.float32(0.5687487), np.float32(0.5396601), np.float32(0.5248397), np.float32(0.51532876), np.float32(0.5318314), np.float32(0.6079941), np.float32(0.70913124), np.float32(0.77996707), np.float32(0.7959628), np.float32(0.7907506), np.float32(0.79199904), np.float32(0.7927347), np.float32(0.77923226), np.float32(0.7639229), np.float32(0.7493206)]",4.508892572022205
