DATE_OF_DATA_POINT,LAG_DATA,ACTUAL_VALUE_HORIZON,PREDICTED_VALUE_HORIZON,MAPE_OF_THIS_DATA_POINT,DENORM_ACTUAL_VALUE_HORIZON,DENORM_PREDICTED_VALUE_HORIZON,DENORM_MAPE_OF_THIS_DATA_POINT
2020-03-04 05:00:00+00:00,"[np.float64(0.7377453397770983), np.float64(0.8272018936778776), np.float64(0.866258999901371), np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252)]","[0.751553407633889, 0.8273991517901174, 0.8511687543150213, 0.8384456060755499, 0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733]","[0.7387534, 0.82828665, 0.8610059, 0.870525, 0.87394196, 0.8700212, 0.8587409, 0.849604, 0.8359231, 0.8202112, 0.8242867, 0.84057844, 0.8523917, 0.8279798, 0.7705362, 0.7140882, 0.67792124, 0.6371666, 0.602525, 0.5844031, 0.57298696, 0.5593534, 0.56288075, 0.6180322]",1.970779618773394,"[8284.000000000002, 9053.000000000002, 9294.000000000002, 9165.000000000002, 9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001]","[8154.220722600001, 9061.99834435, 9393.7388201, 9490.252975000001, 9524.897532440002, 9485.144946800001, 9370.7739851, 9278.134956000002, 9139.424310900002, 8980.1213568, 9021.442851300002, 9186.62480316, 9306.3994463, 9058.887192200002, 8476.4665318, 7904.1402598, 7537.443452359999, 7124.232157400002, 6773.000975000001, 6589.2630309, 6473.51478744, 6335.284122600001, 6371.0479242500005, 6930.228475800001]",1.8133863563144652
2020-03-04 06:00:00+00:00,"[np.float64(0.8272018936778776), np.float64(0.866258999901371), np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889)]","[0.8273991517901174, 0.8511687543150213, 0.8384456060755499, 0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786]","[0.84051085, 0.878134, 0.8795539, 0.88079214, 0.8768821, 0.862187, 0.8517368, 0.84348977, 0.8310865, 0.8350446, 0.8577602, 0.86078393, 0.8303097, 0.78458965, 0.7353082, 0.69201624, 0.6456536, 0.59703934, 0.573483, 0.5662931, 0.56508166, 0.57768714, 0.6403717, 0.73114824]",2.5576159810971704,"[9053.000000000002, 9294.000000000002, 9165.000000000002, 9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002]","[9185.93950815, 9567.400626, 9581.7969921, 9594.35150746, 9554.707611900001, 9405.713993000001, 9299.7594152, 9216.14277803, 9090.3860235, 9130.517199400001, 9360.8306678, 9391.48826627, 9082.5100483, 8618.954461350002, 8119.289839800001, 7680.352657359999, 7210.281850400001, 6717.381868260001, 6478.544137000001, 6405.6457409, 6393.36295074, 6521.16991246, 7156.7286663, 8077.112005360001]",2.3587617119237114
2020-03-04 07:00:00+00:00,"[np.float64(0.866258999901371), np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174)]","[0.8511687543150213, 0.8384456060755499, 0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941]","[0.85385084, 0.8600745, 0.8604439, 0.8596127, 0.8514943, 0.8381063, 0.82610387, 0.8124311, 0.8114151, 0.8369743, 0.85038793, 0.812758, 0.75213075, 0.7114873, 0.6804205, 0.6422754, 0.597042, 0.56569344, 0.55396676, 0.54695666, 0.5665946, 0.62536216, 0.7252623, 0.7954972]",2.218652628895005,"[9294.000000000002, 9165.000000000002, 9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0]","[9321.19366676, 9384.2953555, 9388.040702100001, 9379.613165300001, 9297.3007077, 9161.559775700001, 9039.86713793, 8901.2389229, 8890.9376989, 9150.0824277, 9286.08322227, 8904.553362, 8289.85367425, 7877.7697347, 7562.7834495, 7176.0302806, 6717.408837999999, 6399.565788160001, 6280.6689796400005, 6209.593575740001, 6408.7026494, 7004.5469402399995, 8017.434459700001, 8729.546110800002]",2.035220856009447
2020-03-04 08:00:00+00:00,"[np.float64(0.8776999704112831), np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213)]","[0.8384456060755499, 0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675]","[0.85160124, 0.859773, 0.8535024, 0.8414588, 0.833504, 0.8192481, 0.80656517, 0.81085247, 0.8296895, 0.8422412, 0.818449, 0.7552151, 0.7006894, 0.66534793, 0.62717307, 0.5876391, 0.5621564, 0.5453074, 0.53919023, 0.5580123, 0.62526417, 0.7138825, 0.7844361, 0.80972797]",2.618499140063815,"[9165.000000000002, 9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002]","[9298.38497236, 9381.238447, 9317.6608336, 9195.550773199999, 9114.897056000002, 8970.356485900002, 8841.76425863, 8885.233193330001, 9076.2218405, 9203.4835268, 8962.254411000002, 8321.125898900002, 7768.2898266, 7409.962662270002, 7022.907756730001, 6622.072834899999, 6363.7037396, 6192.871728600001, 6130.849741970001, 6321.6867096999995, 7003.55341963, 7902.0546675000005, 8617.3976179, 8873.831887830002]",2.396417162567979
2020-03-04 09:00:00+00:00,"[np.float64(0.8850971496202782), np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499)]","[0.8403195581418286, 0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801]","[0.8441621, 0.84304833, 0.8276787, 0.8135936, 0.8046849, 0.7967848, 0.80494404, 0.8297306, 0.83297116, 0.7967045, 0.74045944, 0.68835557, 0.6547753, 0.61869735, 0.5808164, 0.5524812, 0.5356264, 0.52479243, 0.5459951, 0.6112522, 0.70636904, 0.7760907, 0.79999644, 0.7964381]",3.451533584226333,"[9184.0, 9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0]","[9222.9595319, 9211.66701787, 9055.8343393, 8913.0255104, 8822.700201100002, 8742.6010872, 8825.32762156, 9076.6385534, 9109.494591240002, 8741.7869255, 8171.518262160001, 7643.2371242300005, 7302.7667667, 6936.9724316500005, 6552.897479600001, 6265.6068868, 6094.7160696, 5984.87044777, 6199.844318899999, 6861.486055800001, 7825.875696560001, 8532.7836073, 8775.16390516, 8739.085895900002]",3.1526500520169343
2020-03-04 10:00:00+00:00,"[np.float64(0.8799684387020417), np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286)]","[0.8377552026827102, 0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325]","[0.8373538, 0.8244372, 0.80740607, 0.80114174, 0.7998388, 0.8070186, 0.8284892, 0.84168315, 0.8062195, 0.7369025, 0.6850432, 0.6495573, 0.6207465, 0.58384407, 0.557198, 0.5419778, 0.5378402, 0.5545031, 0.6184966, 0.7133604, 0.7884798, 0.8152262, 0.8105347, 0.809911]",2.912068724340497,"[9158.0, 9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0]","[9153.930178200002, 9022.9687708, 8850.290143729999, 8786.776101860001, 8773.565593199999, 8846.3615854, 9064.0519988, 9197.82545785, 8838.2595105, 8135.454447500001, 7609.6530048, 7249.8614646999995, 6957.7487635, 6583.595025730001, 6313.430522, 6159.1129142, 6117.161787800001, 6286.106930900001, 6934.937027399999, 7896.761095600001, 8658.3966922, 8929.5784418, 8882.011323300001, 8875.687629000002]",2.6604408532930375
2020-03-04 11:00:00+00:00,"[np.float64(0.8640891606667325), np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102)]","[0.8288785876319162, 0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325, 0.8165499556169247]","[0.81018186, 0.8011852, 0.79321253, 0.7929494, 0.80856043, 0.83284414, 0.8364961, 0.8008051, 0.73861814, 0.6853543, 0.6565631, 0.6171706, 0.5780023, 0.5530325, 0.53818285, 0.526233, 0.5415342, 0.6085435, 0.7014541, 0.7710067, 0.79271066, 0.79775405, 0.80102575, 0.79686594]",3.953910729903421,"[9068.0, 9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0, 8943.0]","[8878.43387854, 8787.216742800001, 8706.38184167, 8703.7139666, 8861.99419977, 9108.20673546, 9145.2339579, 8783.362908900002, 8152.849321460001, 7612.8072477000005, 7320.893270899999, 6921.4927134, 6524.365319699999, 6271.196517500001, 6120.6359161499995, 5999.476387000001, 6154.6152538, 6834.0225465, 7776.0431198999995, 8481.236931300002, 8701.29338174, 8752.428312950002, 8785.60007925, 8743.423765660002]",3.6166462448876633
2020-03-04 12:00:00+00:00,"[np.float64(0.8563960942893776), np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162)]","[0.8230594733208403, 0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325, 0.8165499556169247, 0.7971200315612978]","[0.8286784, 0.8130644, 0.7998905, 0.8195474, 0.8503691, 0.8561272, 0.81280154, 0.75383276, 0.71136034, 0.67287564, 0.62999374, 0.5888133, 0.57338375, 0.5609534, 0.5502126, 0.5647942, 0.6356479, 0.7321899, 0.80210096, 0.83333224, 0.8396019, 0.84015185, 0.8244784, 0.8134061]",1.9190516517687315,"[9009.0, 8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0, 8943.0, 8746.0]","[9065.9702976, 8907.6599516, 8774.0897795, 8973.391088600001, 9285.8923049, 9344.2736808, 8904.99481406, 8307.11035364, 7876.48248726, 7486.286113960001, 7051.50652986, 6633.978048700001, 6477.5378412499995, 6351.5065226000015, 6242.605551400002, 6390.4483938, 7108.8340581, 8087.673396099999, 8796.50163344, 9113.155581359999, 9176.7236641, 9182.299607150002, 9023.386497599999, 8911.1244479]",1.7597945999220617
2020-03-04 13:00:00+00:00,"[np.float64(0.844067462274386), np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403)]","[0.8066870500049315, 0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325, 0.8165499556169247, 0.7971200315612978, 0.7958378538317388]","[0.81346965, 0.8114753, 0.82668984, 0.85640264, 0.85760933, 0.8215933, 0.75931406, 0.7070919, 0.6697564, 0.6336686, 0.5945835, 0.5677439, 0.5530834, 0.54664236, 0.56476176, 0.6277242, 0.727929, 0.8139186, 0.8491959, 0.8444733, 0.83867204, 0.8402294, 0.8334343, 0.8074851]",2.2377394996478626,"[8843.000000000002, 8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0, 8943.0, 8746.0, 8733.0]","[8911.768781350002, 8891.5480667, 9045.80828776, 9347.066366960002, 9359.300996869999, 8994.1344687, 8362.68525434, 7833.204774100001, 7454.6601396000015, 7088.765935400002, 6692.482106500001, 6420.355402100001, 6271.712592600001, 6206.40688804, 6390.119484639999, 7028.495663799999, 8044.472131000001, 8916.320685400002, 9273.997230100002, 9226.1147887, 9167.29581356, 9183.0858866, 9114.190367700001, 8851.0914289]",2.0513587462561316
2020-03-04 14:00:00+00:00,"[np.float64(0.8383469770194298), np.float64(0.8298648781931157), np.float64(0.8405168162540684), np.float64(0.8621165795443337), np.float64(0.8253279416115988), np.float64(0.7653614754906795), np.float64(0.6961238780944865), np.float64(0.6706775816155439), np.float64(0.6267876516421738), np.float64(0.5978893381990333), np.float64(0.5771772364138474), np.float64(0.5625801361080973), np.float64(0.5518295689910246), np.float64(0.566328040240655), np.float64(0.6394121708255252), np.float64(0.751553407633889), np.float64(0.8273991517901174), np.float64(0.8511687543150213), np.float64(0.8384456060755499), np.float64(0.8403195581418286), np.float64(0.8377552026827102), np.float64(0.8288785876319162), np.float64(0.8230594733208403), np.float64(0.8066870500049315)]","[0.8030377749284938, 0.8023473715356544, 0.8286813295196764, 0.8618206923759739, 0.8326264917644737, 0.7718709931945951, 0.7076634776605188, 0.6868527468192129, 0.6357628957490877, 0.5994674030969522, 0.5784594141434065, 0.57342933228129, 0.563369168557057, 0.5826018345004438, 0.6569681428148733, 0.7668409113324786, 0.8322319755399941, 0.8419962520958675, 0.8232567314330801, 0.816056810336325, 0.8165499556169247, 0.7971200315612978, 0.7958378538317388, 0.7864680935003452]","[0.7837528, 0.8034964, 0.8252944, 0.83433414, 0.7961887, 0.7420514, 0.6941629, 0.65899146, 0.61794996, 0.5687487, 0.5396601, 0.5248397, 0.51532876, 0.5318314, 0.6079941, 0.70913124, 0.77996707, 0.7959628, 0.7907506, 0.79199904, 0.7927347, 0.77923226, 0.7639229, 0.7493206]",4.508892572022205,"[8806.0, 8799.0, 9066.0, 9402.0, 9106.0, 8490.0, 7839.000000000002, 7628.000000000001, 7110.000000000002, 6742.0, 6528.999999999999, 6478.0, 6376.000000000002, 6571.0, 7325.000000000001, 8439.000000000002, 9102.0, 9201.000000000002, 9011.0, 8938.0, 8943.0, 8746.0, 8733.0, 8638.0]","[8610.4696392, 8810.6499996, 9031.659921600001, 9123.313845460001, 8736.5572293, 8187.659144600001, 7702.117643100001, 7345.5144129400005, 6929.394644440001, 6430.543069300001, 6135.613753899999, 5985.349718300001, 5888.918297640002, 6056.2385646, 6828.4521799, 7853.881642360001, 8572.08612273, 8734.2668292, 8681.420333400001, 8694.07826656, 8701.5371233, 8564.63588414, 8409.414283099999, 8261.3615634]",4.1191380820838255
