datetime_run,feature_type,horizon,model_name,mape_train,mape_test
2026-04-26 12:35:10,UNIVARIATE,6h,LSTM,2.2278,2.9823
2026-04-26 13:04:02,UNIVARIATE,6h,BiLSTM,2.1135,2.9249
2026-04-26 13:16:51,UNIVARIATE,6h,Attention,15.7554,15.6484
2026-04-26 13:38:55,UNIVARIATE,12h,LSTM,2.768,4.3775
2026-04-26 14:07:25,UNIVARIATE,12h,BiLSTM,2.4521,4.1724
2026-04-26 14:18:37,UNIVARIATE,12h,Attention,16.2626,16.6018
2026-04-26 14:37:44,UNIVARIATE,24h,LSTM,3.3976,5.7418
2026-04-26 15:04:22,UNIVARIATE,24h,BiLSTM,3.4295,5.817
2026-04-26 15:15:25,UNIVARIATE,24h,Attention,17.2759,18.2419
2026-04-26 15:34:36,MULTIVARIATE,6h,LSTM,1.9519,3.1298
2026-04-26 16:03:02,MULTIVARIATE,6h,BiLSTM,1.7352,2.8207
2026-04-26 16:16:03,MULTIVARIATE,6h,Attention,13.5137,14.6041
2026-04-26 16:35:25,MULTIVARIATE,12h,LSTM,2.469,4.5178
2026-04-26 17:01:30,MULTIVARIATE,12h,BiLSTM,1.9929,4.5892
2026-04-26 17:14:05,MULTIVARIATE,12h,Attention,14.189,15.5409
2026-04-26 17:33:08,MULTIVARIATE,24h,LSTM,3.0423,5.9089
2026-04-26 17:59:54,MULTIVARIATE,24h,BiLSTM,2.576,6.1227
2026-04-26 18:12:44,MULTIVARIATE,24h,Attention,15.0406,16.6655
