datetime_run,feature_type,horizon,model_name,mape_train_denorm,mape_test_denorm
2026-04-27 09:29:19,UNIVARIATE,24h,LSTM,3.2507,4.3429
2026-04-27 09:51:18,UNIVARIATE,24h,BiLSTM,3.1365,4.1889
2026-04-27 10:00:52,UNIVARIATE,24h,Attention,15.1518,15.1432
2026-04-27 10:17:03,UNIVARIATE,48h,LSTM,4.5089,5.8991
2026-04-27 10:39:09,UNIVARIATE,48h,BiLSTM,4.1971,5.8814
2026-04-27 10:48:51,UNIVARIATE,48h,Attention,16.0875,16.1272
2026-04-27 11:05:03,MULTIVARIATE,24h,LSTM,2.6921,4.9613
2026-04-27 11:26:56,MULTIVARIATE,24h,BiLSTM,2.2947,4.998
2026-04-27 11:37:52,MULTIVARIATE,24h,Attention,13.2153,13.9833
2026-04-27 11:54:04,MULTIVARIATE,48h,LSTM,3.6003,6.831
2026-04-27 12:16:28,MULTIVARIATE,48h,BiLSTM,2.9509,6.5698
2026-04-27 12:27:29,MULTIVARIATE,48h,Attention,14.2462,15.0879
