utc_timestamp,cet_cest_timestamp,BE_load_actual_entsoe_transparency,BE_load_forecast_entsoe_transparency,BE_solar_generation_actual,BE_wind_generation_actual,BE_wind_offshore_generation_actual,BE_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,9484.0,9897.0,,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,9152.0,9521.0,,734.81,518.66,216.15
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,8799.0,9135.0,,766.64,529.46,237.18
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,8567.0,8909.0,,733.13,406.94,326.19
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,8487.0,8806.0,,730.99,413.49,317.5
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,8428.0,8805.0,,820.66,549.6,271.06
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,8122.0,8651.0,,940.12,616.17,323.95
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,8179.0,8674.0,,1087.66,627.6,460.06
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,8340.0,9037.0,92.66,1146.2,644.52,501.68
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,8677.0,9440.0,374.89,1135.66,656.4,479.26
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,8899.0,9821.0,739.92,1065.67,632.87,432.8
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,9092.0,10071.0,938.06,1020.83,605.88,414.95
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,9088.0,10050.0,848.65,1096.39,605.68,490.71
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,8940.0,9919.0,537.16,1098.11,584.03,514.08
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,8919.0,9840.0,256.62,1087.91,578.81,509.1
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,9017.0,9928.0,40.91,1197.91,626.93,570.98
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,9664.0,10508.0,0.0,1356.77,659.82,696.95
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,9914.0,10748.0,0.0,1464.59,663.18,801.41
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,9852.0,10701.0,0.0,1534.75,663.81,870.94
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,9573.0,10517.0,0.0,1542.76,664.13,878.63
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,9422.0,10366.0,0.0,1596.56,669.33,927.23
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,9896.0,10744.0,0.0,1626.42,668.62,957.8
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,10062.0,10790.0,0.0,1635.39,663.12,972.27
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,9489.0,9574.0,0.0,1633.14,664.69,968.45
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,9001.0,8800.0,0.0,1641.64,655.98,985.66
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,8571.0,8377.0,0.0,1643.25,645.82,997.43
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,8321.0,8157.0,0.0,1624.28,633.29,990.99
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,8277.0,8214.0,0.0,1626.38,657.93,968.45
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,8517.0,8638.0,0.0,1581.24,656.29,924.95
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,9000.0,9600.0,0.0,1553.29,663.71,889.58
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,9226.0,10629.0,0.0,1509.61,662.16,847.45
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,9769.0,11214.0,0.0,1409.09,584.85,824.24
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,10243.0,10905.0,6.96,1242.08,500.37,741.71
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,10557.0,10569.0,70.89,993.84,382.28,611.56
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,10781.0,10625.0,169.08,1148.27,636.82,511.45
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,10770.0,10592.0,329.49,1124.89,650.94,473.95
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,10606.0,10481.0,554.93,1187.64,659.62,528.02
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,10320.0,10320.0,582.9,1148.37,664.01,484.36
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,10225.0,10224.0,347.36,1123.16,667.52,455.64
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,10394.0,10402.0,56.27,1125.12,667.42,457.7
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,11212.0,11013.0,0.0,1121.66,665.76,455.9
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,11429.0,11054.0,0.0,1126.18,657.63,468.55
