utc_timestamp,cet_cest_timestamp,BG_load_actual_entsoe_transparency,BG_load_forecast_entsoe_transparency,BG_solar_generation_actual,BG_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,4585.0,,,479.0
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,4440.0,,,465.0
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,4418.0,,,460.0
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,4393.0,,,468.0
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,4441.0,,,460.0
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,4637.0,,,432.0
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,4834.0,,234.0,316.0
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,4983.0,,445.0,272.0
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,5020.0,,576.0,264.0
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,5000.0,,599.0,290.0
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,4891.0,,588.0,328.0
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,4760.0,,446.0,342.0
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,4838.0,,222.0,332.0
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,5072.0,,37.0,370.0
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,5573.0,,1.0,408.0
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,5816.0,,0.0,447.0
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,5764.0,,0.0,475.0
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,5667.0,,0.0,446.0
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,5486.0,,0.0,457.0
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,5442.0,,0.0,462.0
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,5196.0,,0.0,465.0
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,4811.0,,0.0,466.0
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,4544.0,,0.0,461.0
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,4356.0,,0.0,460.0
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,4317.0,,0.0,459.0
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,4315.0,,0.0,453.0
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,4350.0,,0.0,432.0
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,4444.0,,0.0,414.0
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,4682.0,,1.0,398.0
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,5118.0,,61.0,396.0
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,5513.0,,212.0,369.0
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,5653.0,,342.0,313.0
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,5704.0,,419.0,255.0
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,5612.0,,406.0,184.0
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,5461.0,,353.0,159.0
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,5350.0,,285.0,147.0
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,5328.0,,141.0,134.0
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,5520.0,,21.0,139.0
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,5995.0,,0.0,146.0
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,6217.0,,0.0,142.0
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,6099.0,,0.0,195.0
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,5905.0,,0.0,238.0
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,5662.0,,0.0,238.0
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,5575.0,,0.0,204.0
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,5356.0,,0.0,304.0
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,4910.0,,0.0,318.0
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,4573.0,,0.0,333.0
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,4388.0,,0.0,310.0
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,4307.0,,0.0,328.0
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,4251.0,,0.0,315.0
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,4257.0,,0.0,347.0
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,4332.0,,0.0,305.0
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,4541.0,,1.0,215.0
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,4988.0,,16.0,187.0
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,5295.0,,92.0,355.0
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,5388.0,,259.0,302.0
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,5357.0,,411.0,170.0
