utc_timestamp,cet_cest_timestamp,CH_load_actual_entsoe_transparency,CH_load_forecast_entsoe_transparency,CH_solar_capacity,CH_solar_generation_actual,CH_wind_onshore_capacity,CH_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,455.0,,44.0,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,7640.14,7696.04,455.0,0.05,44.0,14.0
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,7391.44,7447.53,455.0,0.07,44.0,12.8
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,7332.57,7381.67,455.0,0.07,44.0,13.73
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,7002.08,7047.47,455.0,0.07,44.0,10.12
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,7043.26,7086.59,455.0,0.07,44.0,12.17
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,6836.73,6869.99,455.0,0.07,44.0,16.85
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,6616.56,6649.63,455.0,0.23,44.0,13.82
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,6559.91,6593.35,455.0,2.1,44.0,9.59
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,6809.8,6844.55,455.0,4.94,44.0,4.64
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,6837.15,6870.57,455.0,8.14,44.0,4.43
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,6611.04,6641.64,455.0,9.79,44.0,3.49
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,7135.8,7174.27,455.0,10.08,44.0,9.58
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,7070.55,7106.18,455.0,7.69,44.0,7.23
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,7079.35,7113.69,455.0,3.96,44.0,3.0
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,7075.43,7109.98,455.0,0.66,44.0,3.87
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,7322.82,7359.43,455.0,0.06,44.0,4.46
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,7617.17,7658.02,455.0,0.07,44.0,3.64
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,7801.2,7841.73,455.0,0.07,44.0,2.15
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,7706.09,7744.85,455.0,0.07,44.0,2.23
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,7444.88,7482.08,455.0,0.07,44.0,2.04
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,7357.92,7392.44,455.0,0.07,44.0,0.58
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,7448.93,7493.77,455.0,0.07,44.0,0.09
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,7233.81,7284.94,456.0,0.07,44.0,0.15
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,7064.11,7116.82,456.0,0.07,44.0,1.63
