utc_timestamp,cet_cest_timestamp,CZ_load_actual_entsoe_transparency,CZ_load_forecast_entsoe_transparency,CZ_solar_generation_actual,CZ_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,5957.57,5987.0,,38.48
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,5878.87,5845.0,,56.2
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,5827.8,5786.0,,71.21
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,5730.89,5711.0,,72.45
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,5668.53,5722.0,,75.14
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,5600.76,5713.0,,76.82
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,5651.05,5652.0,8.04,75.86
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,6114.63,6074.0,22.04,86.07
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,6481.25,6538.0,37.94,88.75
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,6608.71,6673.0,71.9,66.11
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,6694.39,6803.0,109.24,57.15
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,6754.3,6866.0,131.04,66.74
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,6864.21,7011.0,83.14,84.92
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,6932.59,7065.0,22.29,75.7
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,7085.23,7301.0,2.78,77.39
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,7204.97,7436.0,0.0,88.72
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,7164.21,7383.0,0.0,95.33
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,7008.47,7359.0,0.0,78.53
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,6931.78,7283.0,0.0,68.75
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,6586.66,6913.0,0.0,93.85
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,6369.96,6711.0,0.0,107.44
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,6078.25,6360.0,0.0,107.82
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,5919.82,6051.0,0.0,112.43
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,5963.14,6025.0,0.0,113.6
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,5890.23,5971.0,0.0,106.13
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,5742.16,5863.0,0.0,130.15
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,5759.39,5827.0,0.0,121.49
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,5976.91,5892.0,0.0,133.8
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,6394.58,6028.0,0.0,154.55
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,6707.46,6270.0,3.88,168.94
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,7028.95,6551.0,25.56,183.08
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,7425.95,7037.0,122.31,186.63
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,7755.33,7432.0,232.11,193.45
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,7926.18,7571.0,299.42,187.59
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,7971.82,7570.0,194.6,183.42
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,8048.68,7513.0,78.02,167.75
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,8051.63,7636.0,28.64,159.61
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,8164.08,7605.0,8.92,168.47
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,8131.84,7694.0,2.62,173.44
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,8154.23,7659.0,0.0,184.21
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,8009.76,7604.0,0.0,183.2
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,7856.46,7670.0,0.0,191.39
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,7645.98,7529.0,0.0,214.59
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,7280.81,7300.0,0.0,224.64
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,6916.77,6883.0,0.0,224.67
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,6581.37,6630.0,0.0,236.21
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,6105.57,6168.0,0.0,242.28
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,6001.52,5991.0,0.0,237.63
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,6023.81,6118.0,0.0,234.74
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,5965.41,6077.0,0.0,226.77
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,5995.28,6143.0,0.0,235.15
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,5976.01,6064.0,0.0,225.08
