utc_timestamp,cet_cest_timestamp,DK_load_actual_entsoe_transparency,DK_load_forecast_entsoe_transparency,DK_solar_capacity,DK_solar_generation_actual,DK_wind_capacity,DK_wind_generation_actual,DK_wind_offshore_capacity,DK_wind_offshore_generation_actual,DK_wind_onshore_capacity,DK_wind_onshore_generation_actual,DK_1_load_actual_entsoe_transparency,DK_1_load_forecast_entsoe_transparency,DK_1_price_day_ahead,DK_1_solar_generation_actual,DK_1_wind_generation_actual,DK_1_wind_offshore_generation_actual,DK_1_wind_onshore_generation_actual,DK_2_load_actual_entsoe_transparency,DK_2_load_forecast_entsoe_transparency,DK_2_price_day_ahead,DK_2_solar_generation_actual,DK_2_wind_generation_actual,DK_2_wind_offshore_generation_actual,DK_2_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,489.0,,4643.0,,1264.0,,3379.0,,,,,,,,,,,,,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,3100.02,3126.8,489.0,,4643.0,2357.33,1264.0,902.71,3379.0,1454.62,1794.96,1784.9,16.04,,1774.05,567.07,1206.98,1305.06,1341.9,16.04,,583.28,335.64,247.64
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,2980.39,3019.0,489.0,,4643.0,2387.35,1264.0,830.87,3379.0,1556.48,1744.76,1734.5,14.6,,1902.23,549.83,1352.4,1235.63,1284.5,14.6,,485.12,281.04,204.08
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,2933.49,2976.3,489.0,,4643.0,2594.47,1264.0,915.43,3379.0,1679.04,1743.17,1734.0,14.95,,2123.97,660.47,1463.5,1190.32,1242.3,14.95,,470.5,254.96,215.54
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,2941.54,2982.5,489.0,0.01,4643.0,3092.01,1264.0,1056.28,3379.0,2035.73,1751.47,1753.1,14.5,0.01,2525.12,743.59,1781.53,1190.07,1229.4,14.5,,566.89,312.69,254.2
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,2999.89,3025.3,489.0,0.01,4643.0,3270.63,1264.0,1068.07,3379.0,2202.56,1767.16,1771.0,10.76,0.01,2636.25,728.79,1907.46,1232.73,1254.3,10.76,,634.38,339.28,295.1
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,3176.8,3124.6,489.0,0.01,4643.0,3502.55,1264.0,1141.11,3379.0,2361.44,1903.3,1837.1,12.01,0.01,2864.04,790.55,2073.49,1273.5,1287.5,12.01,,638.51,350.56,287.95
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,3292.27,3249.1,489.0,0.03,4643.0,3706.07,1264.0,1162.82,3379.0,2543.25,1985.32,1924.0,12.39,0.01,3041.48,809.21,2232.27,1306.95,1325.1,12.39,,664.59,353.61,310.98
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,3378.64,3434.4,489.0,1.5,4643.0,3847.48,1264.0,1190.68,3379.0,2656.8,2015.15,2038.5,14.04,0.83,3137.93,814.19,2323.74,1363.49,1395.9,14.04,0.67,709.55,376.49,333.06
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,3562.9,3640.5,489.0,6.18,4643.0,3867.69,1264.0,1164.29,3379.0,2703.4,2101.76,2153.3,14.68,2.65,3155.45,804.86,2350.59,1461.14,1487.2,14.68,3.53,712.24,359.43,352.81
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,3736.05,3725.5,489.0,8.42,4643.0,3906.23,1264.0,1153.76,3379.0,2752.47,2194.32,2168.2,16.08,4.7,3146.8,785.13,2361.67,1541.73,1557.3,16.08,3.72,759.43,368.63,390.8
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,3837.81,3795.6,489.0,8.23,4643.0,3878.78,1264.0,1106.18,3379.0,2772.6,2254.78,2198.2,16.08,4.92,3145.14,756.37,2388.77,1583.03,1597.4,16.08,3.31,733.64,349.81,383.83
