utc_timestamp,cet_cest_timestamp,EE_load_actual_entsoe_transparency,EE_load_forecast_entsoe_transparency,EE_solar_generation_actual,EE_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,764.7,676.4,0.1,46.1
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,749.8,664.5,0.1,51.1
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,746.5,672.0,0.1,56.1
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,754.6,691.7,0.1,52.9
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,771.2,712.5,0.1,68.0
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,788.5,723.4,0.1,79.5
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,790.7,735.4,0.1,82.3
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,827.5,761.9,0.1,90.3
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,861.8,782.6,0.1,110.1
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,880.8,792.8,0.1,118.4
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,892.1,800.4,0.1,127.0
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,898.3,799.9,0.1,127.8
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,931.0,819.1,0.1,124.0
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,996.1,867.6,0.1,141.7
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,999.1,885.0,0.1,157.6
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,992.1,880.3,0.1,173.4
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,976.4,868.8,0.1,173.9
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,956.3,847.7,0.1,172.1
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,931.3,818.7,0.1,164.2
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,884.6,768.7,0.1,156.6
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,839.6,725.0,0.1,147.6
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,784.7,828.0,0.1,141.1
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,745.7,666.2,0.1,139.8
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,717.5,650.2,0.1,128.6
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,708.2,647.4,0.1,123.3
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,711.2,654.4,0.1,142.3
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,735.7,682.8,0.1,163.2
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,792.0,771.3,0.1,161.8
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,864.6,881.5,0.1,172.3
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,,918.9,0.1,187.7
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,,964.1,0.1,203.1
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,,983.1,0.1,218.5
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,1032.2,982.4,0.1,220.8
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,,968.5,,
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,,980.9,,
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,,975.8,,
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,,998.8,,
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,,1024.4,,
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,,1015.2,,
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,,991.4,,
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,,974.1,,
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,1021.6,929.4,0.1,229.1
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,977.5,894.2,0.1,229.4
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,922.1,834.2,0.1,216.0
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,866.3,769.3,0.1,209.6
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,812.6,,0.1,208.3
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,768.4,,0.1,209.5
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,727.5,,0.1,185.5
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,728.4,,0.1,189.3
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,726.0,,0.1,183.0
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,741.3,,0.1,173.3
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,785.9,,0.1,174.0
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,827.2,,0.1,170.0
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,873.9,,0.1,170.8
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,912.0,,0.1,179.5
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,960.2,,0.1,200.3
