utc_timestamp,cet_cest_timestamp,ES_load_actual_entsoe_transparency,ES_load_forecast_entsoe_transparency,ES_solar_generation_actual,ES_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,22734.0,23515.0,50.0,5461.0
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,21286.0,22642.0,50.0,5238.0
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,20264.0,21785.0,42.0,4935.0
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,19905.0,21441.0,34.0,4618.0
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,20010.0,21285.0,34.0,4397.0
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,20377.0,21545.0,35.0,3992.0
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,20094.0,21443.0,54.0,3629.0
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,20637.0,21560.0,743.0,3073.0
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,22250.0,22824.0,2019.0,2683.0
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,23547.0,23720.0,3197.0,2771.0
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,24133.0,24180.0,3885.0,2906.0
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,24713.0,24797.0,4007.0,2923.0
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,24672.0,25222.0,3973.0,2945.0
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,23528.0,24173.0,3818.0,2709.0
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,23118.0,23659.0,3088.0,2552.0
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,23606.0,23982.0,1467.0,2699.0
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,26447.0,26981.0,404.0,2764.0
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,28020.0,28515.0,139.0,2913.0
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,29014.0,30482.0,100.0,3118.0
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,29571.0,30739.0,75.0,3373.0
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,29031.0,29756.0,74.0,3508.0
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,26798.0,27589.0,56.0,3527.0
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,24298.0,23959.0,48.0,3360.0
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,21881.0,21692.0,49.0,3088.0
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,20495.0,20247.0,48.0,3014.0
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,19730.0,19529.0,48.0,2821.0
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,19500.0,19198.0,47.0,2928.0
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,20113.0,19821.0,47.0,3119.0
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,22153.0,21620.0,47.0,3157.0
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,,24379.0,48.0,3289.0
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,,27389.0,73.0,3102.0
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,,30619.0,809.0,2838.0
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,32383.0,32419.0,1981.0,2272.0
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,32358.0,32029.0,3082.0,1795.0
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,,31357.0,3817.0,1413.0
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,,31338.0,3836.0,1347.0
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,,30874.0,3701.0,1345.0
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,,30124.0,3475.0,1487.0
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,,29714.0,2742.0,1648.0
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,,29801.0,1281.0,1857.0
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,,32257.0,328.0,1864.0
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,,33183.0,161.0,1813.0
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,33955.0,34839.0,124.0,1731.0
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,33851.0,34392.0,86.0,1816.0
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,32324.0,32614.0,62.0,1960.0
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,29866.0,30236.0,62.0,1912.0
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,27243.0,25995.0,62.0,1854.0
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,24723.0,23763.0,62.0,1982.0
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,22861.0,22030.0,62.0,2221.0
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,21963.0,20996.0,62.0,2383.0
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,21540.0,20478.0,60.0,2611.0
