utc_timestamp,cet_cest_timestamp,FI_load_actual_entsoe_transparency,FI_load_forecast_entsoe_transparency,FI_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,8735.4,8667.72,250.02
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,8626.4,8612.74,264.08
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,8674.1,8685.0,274.47
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,8845.3,8865.46,286.7
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,8877.0,8888.62,264.3
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,9043.7,9015.8,262.72
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,8994.2,9058.75,261.46
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,9074.1,9106.51,240.68
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,9205.4,9279.87,244.23
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,9306.8,9371.93,245.28
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,9337.8,9416.93,226.12
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,9456.0,9549.09,221.53
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,9830.5,9901.1,217.5
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,10159.0,10216.93,212.88
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,10188.0,10292.16,182.05
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,10206.0,10326.0,175.89
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,10184.0,10320.28,200.41
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,10023.0,10143.35,189.02
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,9746.8,9867.46,204.71
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,9996.2,10159.62,203.17
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,9829.9,9979.59,232.52
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,9366.0,9489.79,238.78
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,8956.3,9116.46,250.99
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,8721.2,8892.07,254.13
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,8662.4,8810.21,212.49
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,8739.3,8859.8,230.49
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,9005.8,9201.57,253.82
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,9607.8,10061.73,267.27
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,10012.0,10595.73,241.01
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,10333.0,10970.68,233.28
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,10443.0,11004.13,268.43
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,10340.0,10887.88,275.18
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,10288.0,10867.38,290.5
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,10266.0,10882.62,303.22
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,10329.0,10869.17,309.3
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,10498.0,10888.74,326.42
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,10748.0,11098.0,339.44
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,10945.0,11270.41,334.16
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,10903.0,11257.15,341.36
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,10911.0,11236.45,245.51
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,10843.0,11216.92,313.12
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,10537.0,11014.0,325.945
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,10231.0,10543.99,338.77
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,10306.0,10690.22,354.75
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,10105.0,10346.54,364.23
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,9659.9,9490.2,369.54
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,9218.0,9120.4,383.73
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,8972.2,8901.41,384.19
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,8879.9,8805.38,389.73
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,8847.4,8782.48,398.21
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,8922.2,8907.87,400.07
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,9220.2,9196.23,408.88
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,9311.6,9319.52,414.96
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,9591.3,9649.04,412.8
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,9662.6,9734.14,409.5
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,9741.6,9802.02,400.81
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,9850.4,9853.6,391.66
