utc_timestamp,cet_cest_timestamp,FR_load_actual_entsoe_transparency,FR_load_forecast_entsoe_transparency,FR_solar_generation_actual,FR_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,69773.0,69750.0,,1464.0
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,66417.0,66300.0,,1543.0
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,64182.0,63250.0,,1579.0
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,63859.0,61500.0,,1482.0
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,63921.0,60850.0,,1387.0
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,64117.0,60450.0,,1583.0
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,63861.0,60150.0,,1814.0
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,64277.0,59950.0,385.0,1936.0
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,65100.0,62000.0,1053.0,1927.0
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,65875.0,64100.0,1635.0,1846.0
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,67460.0,66450.0,1883.0,1768.0
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,65706.0,67250.0,1857.0,1715.0
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,62688.0,63600.0,1516.0,1693.0
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,60798.0,60400.0,911.0,1697.0
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,61111.0,59600.0,300.0,1938.0
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,65620.0,62750.0,39.0,2301.0
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,69967.0,68300.0,0.0,2672.0
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,71682.0,71300.0,0.0,3017.0
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,70462.0,71150.0,0.0,3289.0
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,68173.0,69400.0,0.0,3496.0
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,69188.0,68300.0,0.0,3619.0
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,70135.0,70350.0,0.0,3887.0
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,67584.0,69000.0,0.0,3971.0
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,65510.0,66750.0,0.0,4022.0
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,64522.0,66250.0,0.0,4034.0
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,61798.0,64150.0,0.0,4223.0
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,60686.0,62900.0,0.0,4433.0
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,62060.0,63350.0,0.0,4504.0
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,64662.0,66200.0,0.0,4490.0
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,66982.0,68100.0,0.0,4425.0
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,68828.0,70600.0,57.0,4247.0
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,70472.0,72600.0,331.0,3843.0
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,71681.0,73450.0,842.0,3518.0
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,72248.0,73350.0,1271.0,3270.0
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,73443.0,74000.0,1397.0,3083.0
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,71451.0,73800.0,1360.0,2771.0
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,69123.0,71050.0,1119.0,2381.0
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,66628.0,68200.0,639.0,2162.0
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,66234.0,67000.0,203.0,1877.0
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,69985.0,70050.0,36.0,1692.0
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,73818.0,74100.0,0.0,1605.0
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,73971.0,75800.0,0.0,1488.0
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,70938.0,73100.0,0.0,1367.0
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,67746.0,69600.0,0.0,1192.0
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,68455.0,68450.0,0.0,1088.0
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,69539.0,70350.0,0.0,1038.0
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,66642.0,67550.0,0.0,1168.0
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,64227.0,64400.0,0.0,1278.0
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,62716.0,63800.0,0.0,1376.0
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,59396.0,60600.0,0.0,1606.0
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,57700.0,58950.0,0.0,1905.0
