utc_timestamp,cet_cest_timestamp,LU_load_actual_entsoe_transparency,LU_load_forecast_entsoe_transparency
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,401.0,362.0
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,383.0,346.0
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,370.0,334.0
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,364.0,326.0
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,354.0,320.0
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,300.0,285.0
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,308.0,281.0
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,302.0,283.0
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,300.0,288.0
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,314.0,298.0
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,345.0,325.0
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,357.0,330.0
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,350.0,314.0
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,345.0,306.0
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,345.0,303.0
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,353.0,306.0
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,396.0,348.0
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,411.0,367.0
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,396.0,348.0
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,377.0,326.0
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,359.0,316.0
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,429.0,376.0
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,417.0,365.0
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,391.0,357.0
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,362.0,342.0
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,345.0,326.0
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,337.0,324.0
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,338.0,326.0
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,356.0,344.0
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,341.0,332.0
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,395.0,373.0
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,429.0,406.0
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,452.0,425.0
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,469.0,438.0
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,501.0,464.0
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,490.0,451.0
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,477.0,439.0
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,470.0,426.0
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,454.0,422.0
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,452.0,431.0
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,491.0,470.0
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,506.0,482.0
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,483.0,454.0
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,452.0,412.0
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,418.0,377.0
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,482.0,421.0
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,463.0,404.0
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,439.0,390.0
