utc_timestamp,cet_cest_timestamp,LV_load_actual_entsoe_transparency,LV_load_forecast_entsoe_transparency,LV_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,645.0,630.0,13.0
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,629.0,614.0,15.0
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,631.0,616.0,15.0
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,644.0,633.0,17.0
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,652.0,648.0,16.0
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,655.0,665.0,18.0
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,657.0,682.0,17.0
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,688.0,705.0,21.0
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,719.0,728.0,22.0
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,742.0,729.0,20.0
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,741.0,750.0,25.0
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,750.0,763.0,17.0
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,772.0,791.0,18.0
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,836.0,840.0,23.0
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,865.0,886.0,29.0
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,863.0,900.0,36.0
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,856.0,911.0,38.0
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,843.0,893.0,36.0
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,817.0,850.0,39.0
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,763.0,802.0,39.0
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,710.0,746.0,38.0
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,653.0,679.0,36.0
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,618.0,633.0,35.0
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,589.0,597.0,35.0
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,577.0,584.0,37.0
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,577.0,587.0,39.0
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,598.0,614.0,40.0
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,647.0,667.0,41.0
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,709.0,732.0,40.0
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,779.0,803.0,42.0
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,817.0,851.0,41.0
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,869.0,899.0,43.0
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,900.0,912.0,43.0
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,903.0,923.0,43.0
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,911.0,925.0,44.0
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,914.0,919.0,44.0
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,932.0,934.0,43.0
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,974.0,979.0,42.0
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,983.0,998.0,40.0
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,967.0,999.0,41.0
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,936.0,976.0,42.0
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,912.0,948.0,41.0
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,869.0,900.0,41.0
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,804.0,836.0,42.0
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,736.0,769.0,40.0
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,675.0,697.0,41.0
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,627.0,651.0,40.0
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,600.0,613.0,40.0
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,588.0,600.0,41.0
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,586.0,608.0,39.0
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,606.0,635.0,40.0
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,641.0,681.0,37.0
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,689.0,738.0,37.0
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,748.0,799.0,39.0
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,794.0,840.0,39.0
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,841.0,897.0,39.0
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,870.0,922.0,41.0
2015-01-03T10:00:00Z,2015-01-03T11:00:00+0100,873.0,924.0,40.0
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,873.0,915.0,40.0
