utc_timestamp,cet_cest_timestamp,ME_load_actual_entsoe_transparency,ME_load_forecast_entsoe_transparency,ME_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,452.52,,
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,416.46,,
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,399.46,,
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,393.89,,
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,393.52,,
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,401.68,,
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,433.4,,
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,468.63,,
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,490.08,,
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,503.64,,
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,511.77,,
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,501.52,,
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,493.32,,
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,493.07,,
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,522.24,,
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,550.71,,
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,554.2,,
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,556.38,,
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,556.17,,
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,537.65,,
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,518.19,,
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,501.66,,
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,471.36,,
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,432.85,,
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,402.89,,
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,384.01,,
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,371.98,,
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,372.28,,
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,384.97,,
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,405.54,,
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,447.89,,
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,483.02,,
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,497.86,,
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,497.8,,
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,486.37,,
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,477.22,,
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,476.53,,
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,484.14,,
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,515.6,,
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,547.67,,
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,549.76,,
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,546.73,,
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,537.4,,
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,524.35,,
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,502.57,,
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,487.09,,
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,459.24,,
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,417.64,,
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,383.59,,
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,365.79,,
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,354.64,,
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,355.52,,
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,371.22,,
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,400.39,,
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,445.71,,
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,475.62,,
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,483.85,,
2015-01-03T10:00:00Z,2015-01-03T11:00:00+0100,480.63,,
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,470.23,,
2015-01-03T12:00:00Z,2015-01-03T13:00:00+0100,462.12,,
2015-01-03T13:00:00Z,2015-01-03T14:00:00+0100,457.09,,
2015-01-03T14:00:00Z,2015-01-03T15:00:00+0100,465.13,,
2015-01-03T15:00:00Z,2015-01-03T16:00:00+0100,500.77,,
2015-01-03T16:00:00Z,2015-01-03T17:00:00+0100,536.63,,
2015-01-03T17:00:00Z,2015-01-03T18:00:00+0100,537.71,,
2015-01-03T18:00:00Z,2015-01-03T19:00:00+0100,534.41,,
2015-01-03T19:00:00Z,2015-01-03T20:00:00+0100,528.91,,
2015-01-03T20:00:00Z,2015-01-03T21:00:00+0100,513.07,,
2015-01-03T21:00:00Z,2015-01-03T22:00:00+0100,488.14,,
