utc_timestamp,cet_cest_timestamp,NO_load_actual_entsoe_transparency,NO_load_forecast_entsoe_transparency,NO_wind_onshore_generation_actual,NO_1_load_actual_entsoe_transparency,NO_1_load_forecast_entsoe_transparency,NO_1_price_day_ahead,NO_1_wind_onshore_generation_actual,NO_2_load_actual_entsoe_transparency,NO_2_load_forecast_entsoe_transparency,NO_2_price_day_ahead,NO_2_wind_onshore_generation_actual,NO_3_load_actual_entsoe_transparency,NO_3_load_forecast_entsoe_transparency,NO_3_price_day_ahead,NO_3_wind_onshore_generation_actual,NO_4_load_actual_entsoe_transparency,NO_4_load_forecast_entsoe_transparency,NO_4_price_day_ahead,NO_4_wind_onshore_generation_actual,NO_5_load_actual_entsoe_transparency,NO_5_load_forecast_entsoe_transparency,NO_5_price_day_ahead,NO_5_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,15104.99,15104.75,479.4,4552.1,4535.71,26.93,,4038.69,4065.77,26.93,158.6,2307.45,2383.21,27.98,233.53,2078.44,2098.16,27.98,68.67,2128.31,2021.9,26.93,18.6
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,14882.56,14882.51,422.74,4469.26,4453.1,26.83,,3955.79,4003.77,26.83,149.2,2272.86,2355.07,27.94,200.27,2037.06,2045.62,27.94,54.67,2147.59,2024.95,26.83,18.6
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,14755.09,14755.0,408.35,4442.35,4425.76,26.81,,3900.05,3947.79,26.81,143.5,2285.79,2351.98,27.95,192.22,2012.77,2033.02,27.95,54.03,2114.13,1996.45,26.81,18.6
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,14903.03,14903.0,415.94,4487.52,4463.79,26.97,,3914.78,3974.58,26.97,149.1,2333.07,2390.53,28.07,192.1,2036.84,2069.85,28.07,56.14,2130.82,2004.25,26.97,18.6
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,15130.74,15129.76,378.65,4646.16,4617.91,27.07,,3971.86,4039.56,27.07,152.6,2338.56,2406.97,28.39,157.58,2036.36,2064.47,28.39,49.87,2137.8,2000.85,27.07,18.6
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,15414.52,15414.51,329.2,4788.48,4752.04,26.8,,4024.11,4077.35,26.8,148.9,2353.71,2457.16,28.48,124.24,2116.42,2113.16,28.48,37.46,2131.8,2014.8,26.8,18.6
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,15567.09,15567.5,328.49,4839.8,4804.72,26.97,,4096.0,4157.11,26.97,158.2,2323.94,2442.01,28.47,102.67,2148.27,2127.86,28.47,49.02,2159.08,2035.8,26.97,18.6
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,15852.32,15851.76,320.45,4929.96,4886.89,26.98,,4182.63,4268.19,26.98,165.3,2350.64,2478.21,28.49,93.38,2156.6,2132.67,28.49,43.17,2232.49,2085.8,26.98,18.6
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,16041.44,16041.25,319.51,5049.85,5005.24,27.06,,4278.25,4329.57,27.06,144.9,2321.85,2447.77,28.5,107.23,2138.52,2121.67,28.5,48.78,2252.97,2137.0,27.06,18.6
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,16262.85,16262.76,328.29,5184.69,5138.4,27.13,,4298.32,4381.28,27.13,135.8,2343.88,2462.84,28.53,108.66,2153.64,2145.79,28.53,65.23,2282.32,2134.45,27.13,18.6
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,16628.18,16628.26,470.21,5246.37,5202.01,27.09,,4360.53,4434.9,27.09,151.5,2489.54,2572.01,28.57,236.61,2230.71,2260.24,28.57,63.5,2301.03,2159.1,27.09,18.6
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,16826.51,16826.51,497.58,5250.22,5207.69,27.01,,4461.47,4519.5,27.01,167.3,2525.95,2603.09,28.6,239.9,2281.01,2312.48,28.6,71.78,2307.86,2183.75,27.01,18.6
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,16894.94,16894.77,529.55,5264.21,5212.18,26.98,,4508.43,4566.63,26.98,173.6,2565.17,2639.07,28.65,279.93,2228.27,2270.69,28.65,57.42,2328.86,2206.2,26.98,18.6
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,17203.71,17203.51,495.3,5355.79,5311.45,27.51,,4607.96,4632.78,27.51,188.5,2613.35,2689.27,28.7,231.15,2255.52,2300.36,28.7,57.05,2371.09,2269.65,27.51,18.6
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,17483.48,17483.49,634.46,5450.83,5407.98,28.32,,4602.46,4657.54,28.32,202.8,2694.05,2753.6,28.58,307.71,2323.56,2395.02,28.58,105.35,2412.58,2269.35,28.32,18.6
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,17221.79,17222.51,557.25,5410.73,5369.66,28.36,,4576.97,4642.32,28.36,220.2,2567.05,2655.74,28.55,235.19,2259.12,2301.64,28.55,83.26,2407.92,2253.15,28.36,18.6
