utc_timestamp,cet_cest_timestamp,PL_load_actual_entsoe_transparency,PL_load_forecast_entsoe_transparency,PL_solar_generation_actual,PL_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,13979.46,,,1444.43
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,13453.78,,,1509.14
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,13306.0,,,1548.33
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,13175.58,,,1618.57
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,13165.11,,,1660.39
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,13029.75,,,1786.57
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,12945.35,,,1866.69
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,13454.68,,,1891.92
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,14094.53,,,1853.64
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,14717.89,,,1932.16
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,15188.36,,,1963.52
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,15637.26,,,1922.17
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,15698.79,,,1853.87
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,15882.16,,,1811.97
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,17216.19,,,1800.1
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,17645.91,,,1870.33
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,17543.6,,,1919.24
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,17552.65,,,1969.04
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,17264.15,,,2017.61
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,16559.75,,,2116.72
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,15860.24,,,2200.64
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,14705.78,,,2285.53
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,13720.8,,,2404.63
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,13258.48,13212.5,,2491.98
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,13010.58,13027.5,,2584.13
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,13006.9,13056.5,,2847.95
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,13241.45,13426.25,,3028.9
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,13985.83,14308.75,,3126.8
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,15719.83,15800.5,,3191.15
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,16899.63,17282.75,,3230.65
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,17782.8,17764.25,,3283.05
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,18763.35,18537.0,,3351.43
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,19358.03,19148.25,,3374.18
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,19743.78,19440.75,,3358.75
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,20030.83,19702.0,,3275.98
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,20491.95,19829.5,,3318.65
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,20393.95,20049.75,,3313.53
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,20516.4,20327.75,,3348.13
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,21503.98,21689.5,,3410.78
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,21448.8,21628.75,,3481.73
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,21109.58,21356.25,,3539.03
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,20924.3,21079.25,,3537.63
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,20286.18,20360.25,,3557.1
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,19113.53,19090.0,,3540.35
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,17908.1,17590.0,,3512.73
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,16641.7,16215.0,,3500.05
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,15491.38,15168.0,,3493.83
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,14866.75,14349.0,,3486.9
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,14559.7,13955.25,,3521.6
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,14399.3,13834.0,,3503.7
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,14584.08,13946.25,,3487.48
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,14754.5,14372.75,,3444.13
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,15689.43,15354.0,,3456.28
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,16285.25,16218.75,,3489.85
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,17005.98,17170.25,,3491.7
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,18138.15,18296.5,,3471.0
