utc_timestamp,cet_cest_timestamp,PT_load_actual_entsoe_transparency,PT_load_forecast_entsoe_transparency,PT_solar_generation_actual,PT_wind_generation_actual,PT_wind_offshore_generation_actual,PT_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,5123.9,4820.0,,,,551.0
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,4771.1,4521.0,,,,596.5
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,4443.5,4250.0,,,,706.3
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,4234.9,4083.0,,,,720.5
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,4118.2,3981.0,,,,764.7
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,4073.8,3940.0,,,,725.7
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,3920.8,3797.0,,,,865.8
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,3883.8,3769.0,50.9,,,844.5
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,4234.7,4045.0,177.0,,,800.8
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,4633.4,4505.0,253.0,,,776.8
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,4989.1,4983.0,278.8,,,623.0
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,5165.2,5204.0,289.8,,,351.5
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,4934.6,5057.0,283.0,,,218.3
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,4685.4,4901.0,257.9,,,132.3
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,4634.8,4881.0,196.0,,,89.0
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,4685.5,4987.0,75.3,,,113.7
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,5295.0,5453.0,1.7,,,166.5
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,6025.2,5819.0,0.0,,,222.8
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,6235.6,5929.0,0.0,,,273.5
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,6307.9,5937.0,0.0,,,239.7
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,6197.8,5826.0,0.0,,,225.9
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,5997.7,5706.0,0.0,,,188.2
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,5522.4,5838.0,0.0,,,150.6
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,5014.1,5462.0,0.0,,,144.6
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,4617.6,4998.0,0.0,,,188.1
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,4338.6,4729.0,0.0,,,244.1
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,4192.2,4602.0,0.0,,,289.1
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,4132.6,4555.0,0.0,,,303.2
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,4183.2,4656.0,0.0,,,343.7
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,4387.7,4824.0,0.0,,,415.6
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,4627.8,4915.0,0.2,,,470.9
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,5038.4,5326.0,51.8,,,504.2
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,5716.4,5863.0,178.2,,,489.2
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,6053.2,6128.0,249.6,,,367.1
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,6210.0,6307.0,276.4,,,177.9
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,6303.4,6310.0,283.4,,,76.0
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,6171.0,6187.0,267.8,,,25.3
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,6085.5,6099.0,246.4,,,22.4
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,5973.5,6021.0,188.5,,,42.7
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,5991.9,6078.0,73.7,,,105.7
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,6575.0,6624.0,2.5,,,234.6
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,7221.5,6812.0,0.0,,,273.7
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,7404.6,6484.0,0.0,,,276.6
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,7318.9,5931.0,0.0,,,235.0
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,7065.4,5560.0,0.0,,,275.2
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,6690.5,5502.0,0.0,,,273.6
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,6095.7,5947.0,0.0,,,285.2
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,5449.1,5406.0,0.0,,,264.9
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,4961.8,4937.0,0.0,,,266.4
