utc_timestamp,cet_cest_timestamp,RS_load_actual_entsoe_transparency,RS_load_forecast_entsoe_transparency
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,,
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,,
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,,
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,,
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,,
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,,
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,,
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,,
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,,
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,,
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,,
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,,
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,,
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,,
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,,
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,,
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,,
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,,
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,,
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,,
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,,
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,,
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,,
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,5614.0,
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,5287.0,
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,5042.0,
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,4912.0,
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,4827.0,
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,4996.0,
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,5174.0,
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,5475.0,
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,5793.0,
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,5970.0,
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,5988.0,
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,5929.0,
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,5852.0,
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,5732.0,
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,5749.0,
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,6111.0,
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,6345.0,
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,6334.0,
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,6341.0,
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,6240.0,
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,6120.0,
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,6092.0,
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,5979.0,
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,5874.0,
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,5493.0,
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,5110.0,
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,4844.0,
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,4710.0,
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,4715.0,
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,4898.0,
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,5094.0,
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,5445.0,
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,5732.0,
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,5838.0,
2015-01-03T10:00:00Z,2015-01-03T11:00:00+0100,5797.0,
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,5769.0,
2015-01-03T12:00:00Z,2015-01-03T13:00:00+0100,5692.0,
2015-01-03T13:00:00Z,2015-01-03T14:00:00+0100,5591.0,
2015-01-03T14:00:00Z,2015-01-03T15:00:00+0100,5685.0,
2015-01-03T15:00:00Z,2015-01-03T16:00:00+0100,6141.0,
2015-01-03T16:00:00Z,2015-01-03T17:00:00+0100,6366.0,
2015-01-03T17:00:00Z,2015-01-03T18:00:00+0100,6391.0,
2015-01-03T18:00:00Z,2015-01-03T19:00:00+0100,6329.0,
2015-01-03T19:00:00Z,2015-01-03T20:00:00+0100,6261.0,
2015-01-03T20:00:00Z,2015-01-03T21:00:00+0100,6070.0,
2015-01-03T21:00:00Z,2015-01-03T22:00:00+0100,5915.0,
2015-01-03T22:00:00Z,2015-01-03T23:00:00+0100,5782.0,
2015-01-03T23:00:00Z,2015-01-04T00:00:00+0100,5748.0,
2015-01-04T00:00:00Z,2015-01-04T01:00:00+0100,5395.0,
