utc_timestamp,cet_cest_timestamp,SK_load_actual_entsoe_transparency,SK_load_forecast_entsoe_transparency,SK_solar_generation_actual,SK_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,2728.0,2860.0,3.8,
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,2626.0,2810.0,3.8,
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,2618.0,2780.0,3.8,
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,2626.0,2790.0,3.8,
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,2641.0,2830.0,3.8,
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,2622.0,2790.0,3.8,
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,2691.0,2980.0,3.9,
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,2794.0,3070.0,8.0,
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,2932.0,3130.0,38.6,
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,2998.0,3150.0,67.7,
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,2931.0,3130.0,48.2,
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,2982.0,3130.0,39.0,
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,2976.0,3150.0,26.3,
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,2960.0,3250.0,12.2,
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,3069.0,3420.0,2.7,
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,3156.0,3460.0,0.7,
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,3142.0,3420.0,0.6,
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,3131.0,3470.0,0.6,
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,3108.0,3350.0,0.6,
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,3021.0,3270.0,0.6,
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,2919.0,3080.0,0.6,
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,2791.0,2980.0,0.6,
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,2715.0,2900.0,0.6,
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,2618.0,2810.0,0.6,
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,2576.0,2810.0,0.6,
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,2575.0,2840.0,0.6,
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,2629.0,2930.0,0.6,
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,2732.0,3050.0,0.6,
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,2916.0,3220.0,0.6,
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,3021.0,3270.0,0.6,
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,3181.0,3490.0,0.7,
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,3311.0,3460.0,6.3,
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,3385.0,3510.0,20.3,
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,3417.0,3500.0,27.3,
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,3320.0,3530.0,43.9,
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,3365.0,3560.0,50.0,
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,3379.0,3520.0,38.4,
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,3362.0,3630.0,16.4,
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,3481.0,3750.0,2.0,
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,3531.0,3720.0,0.7,
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,3480.0,3670.0,0.6,
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,3401.0,3640.0,0.6,
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,3335.0,3440.0,0.6,
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,3207.0,3390.0,0.6,
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,3088.0,3240.0,0.6,
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,2967.0,3150.0,0.6,
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,2842.0,2730.0,0.6,
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,2707.0,2630.0,0.6,
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,2633.0,2590.0,0.6,
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,2645.0,2680.0,0.6,
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,2649.0,2740.0,0.6,
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,2688.0,2760.0,0.6,
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,2789.0,2890.0,0.6,
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,2845.0,2980.0,0.6,
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,2985.0,3160.0,0.9,
