utc_timestamp,AT_load_actual_entsoe_transparency,temperature_2m (°C),rain (mm),relative_humidity_2m (%),sunshine_duration (s)
2015-01-01 00:00:00+00:00,5946.0,-7.0,0.00,94,0.00
2015-01-01 01:00:00+00:00,5726.0,-7.9,0.00,95,0.00
2015-01-01 02:00:00+00:00,5347.0,-7.8,0.00,94,0.00
2015-01-01 03:00:00+00:00,5249.0,-7.9,0.00,91,0.00
2015-01-01 04:00:00+00:00,5309.0,-8.6,0.00,92,0.00
2015-01-01 05:00:00+00:00,5574.0,-8.5,0.00,90,0.00
2015-01-01 06:00:00+00:00,5925.0,-8.0,0.00,87,0.00
2015-01-01 07:00:00+00:00,6343.0,-7.1,0.00,81,0.00
2015-01-01 08:00:00+00:00,6882.0,-6.7,0.00,81,778.26
2015-01-01 09:00:00+00:00,6963.0,-4.9,0.00,76,3600.00
2015-01-01 10:00:00+00:00,7110.0,-3.2,0.00,72,3600.00
2015-01-01 11:00:00+00:00,7136.0,-2.3,0.00,71,3600.00
2015-01-01 12:00:00+00:00,7013.0,-2.8,0.00,79,3600.00
2015-01-01 13:00:00+00:00,6735.0,-2.0,0.00,79,3600.00
2015-01-01 14:00:00+00:00,6543.0,-1.5,0.00,78,2392.25
2015-01-01 15:00:00+00:00,6603.0,-2.0,0.00,82,607.83
2015-01-01 16:00:00+00:00,6735.0,-2.8,0.00,86,0.00
2015-01-01 17:00:00+00:00,6626.0,-3.4,0.00,86,0.00
2015-01-01 18:00:00+00:00,6738.0,-4.8,0.00,87,0.00
2015-01-01 19:00:00+00:00,6654.0,-4.8,0.00,86,0.00
2015-01-01 20:00:00+00:00,6255.0,-5.9,0.00,86,0.00
2015-01-01 21:00:00+00:00,6221.0,-7.1,0.00,87,0.00
2015-01-01 22:00:00+00:00,5864.0,-7.9,0.00,86,0.00
2015-01-01 23:00:00+00:00,5533.0,-8.4,0.00,85,0.00
2015-01-02 00:00:00+00:00,5205.0,-8.8,0.00,85,0.00
2015-01-02 01:00:00+00:00,4971.0,-9.0,0.00,84,0.00
2015-01-02 02:00:00+00:00,4669.0,-9.4,0.00,84,0.00
2015-01-02 03:00:00+00:00,4756.0,-9.3,0.00,84,0.00
2015-01-02 04:00:00+00:00,5080.0,-9.6,0.00,84,0.00
2015-01-02 05:00:00+00:00,5422.0,-9.7,0.00,84,0.00
2015-01-02 06:00:00+00:00,5856.0,-9.4,0.00,82,0.00
2015-01-02 07:00:00+00:00,6366.0,-10.7,0.00,87,0.00
2015-01-02 08:00:00+00:00,6431.0,-8.5,0.00,82,3600.00
2015-01-02 09:00:00+00:00,6699.0,-5.1,0.00,74,3600.00
2015-01-02 10:00:00+00:00,6543.0,-0.6,0.00,65,3600.00
2015-01-02 11:00:00+00:00,6310.0,2.9,0.00,61,3600.00
2015-01-02 12:00:00+00:00,6257.0,4.5,0.00,58,3600.00
2015-01-02 13:00:00+00:00,6307.0,4.5,0.00,63,3600.00
2015-01-02 14:00:00+00:00,6502.0,2.1,0.00,72,3600.00
2015-01-02 15:00:00+00:00,6889.0,1.7,0.00,74,1085.86
2015-01-02 16:00:00+00:00,5972.0,1.9,0.00,74,0.00
2015-01-02 17:00:00+00:00,5892.0,2.3,0.10,72,0.00
2015-01-02 18:00:00+00:00,5807.0,1.0,0.20,82,0.00
2015-01-02 19:00:00+00:00,5313.0,-0.1,0.10,96,0.00
2015-01-02 20:00:00+00:00,5379.0,-0.2,0.10,97,0.00
2015-01-02 21:00:00+00:00,5325.0,-0.3,0.10,98,0.00
2015-01-02 22:00:00+00:00,5145.0,-0.2,0.00,99,0.00
2015-01-02 23:00:00+00:00,5827.0,-0.2,0.00,99,0.00
2015-01-03 00:00:00+00:00,5779.0,-0.4,0.00,99,0.00
2015-01-03 01:00:00+00:00,5467.0,-0.8,0.00,99,0.00
2015-01-03 02:00:00+00:00,5201.0,-1.4,0.00,99,0.00
2015-01-03 03:00:00+00:00,5244.0,-1.3,0.00,99,0.00
2015-01-03 04:00:00+00:00,5405.0,-1.5,0.00,99,0.00
2015-01-03 05:00:00+00:00,5402.0,-2.1,0.00,99,0.00
2015-01-03 06:00:00+00:00,5553.0,-2.3,0.00,98,0.00
2015-01-03 07:00:00+00:00,5476.0,-2.5,0.00,97,0.00
2015-01-03 08:00:00+00:00,5612.0,-3.0,0.00,97,1610.42
2015-01-03 09:00:00+00:00,5660.0,-2.2,0.00,90,2923.78
2015-01-03 10:00:00+00:00,5663.0,-1.5,0.00,87,3600.00
2015-01-03 11:00:00+00:00,5305.0,0.3,0.00,77,3600.00
2015-01-03 12:00:00+00:00,4932.0,0.4,0.00,82,3600.00
2015-01-03 13:00:00+00:00,4706.0,0.8,0.00,81,0.00
2015-01-03 14:00:00+00:00,4833.0,0.9,0.00,80,1915.83
2015-01-03 15:00:00+00:00,5124.0,-0.3,0.00,87,0.00
2015-01-03 16:00:00+00:00,6064.0,-1.1,0.00,91,0.00
2015-01-03 17:00:00+00:00,5937.0,-1.0,0.00,93,0.00
2015-01-03 18:00:00+00:00,5767.0,-1.1,0.00,96,0.00
2015-01-03 19:00:00+00:00,5697.0,-1.0,0.10,96,0.00
2015-01-03 20:00:00+00:00,5329.0,-1.4,0.00,96,0.00
2015-01-03 21:00:00+00:00,5570.0,-1.4,0.20,96,0.00
2015-01-03 22:00:00+00:00,5452.0,-1.5,0.30,97,0.00
2015-01-03 23:00:00+00:00,5513.0,-1.4,0.30,96,0.00
2015-01-04 00:00:00+00:00,5234.0,-1.5,0.50,96,0.00
2015-01-04 01:00:00+00:00,5106.0,-0.7,0.10,97,0.00
2015-01-04 02:00:00+00:00,4804.0,-0.8,0.00,92,0.00
2015-01-04 03:00:00+00:00,4797.0,-1.7,0.00,92,0.00
2015-01-04 04:00:00+00:00,4868.0,-2.3,0.00,96,0.00
2015-01-04 05:00:00+00:00,5035.0,-2.7,0.00,95,0.00
2015-01-04 06:00:00+00:00,5385.0,-3.2,0.00,94,0.00
2015-01-04 07:00:00+00:00,5513.0,-3.4,0.00,90,0.00
2015-01-04 08:00:00+00:00,5567.0,-4.2,0.00,83,1164.96
2015-01-04 09:00:00+00:00,5618.0,-4.4,0.00,80,3600.00
2015-01-04 10:00:00+00:00,5621.0,-4.5,0.00,76,3600.00
2015-01-04 11:00:00+00:00,5540.0,-4.5,0.00,72,3600.00
2015-01-04 12:00:00+00:00,5454.0,-4.6,0.00,71,3600.00
2015-01-04 13:00:00+00:00,5162.0,-5.0,0.00,71,3600.00
2015-01-04 14:00:00+00:00,5044.0,-5.5,0.00,78,3600.00
2015-01-04 15:00:00+00:00,5292.0,-6.0,0.00,82,2228.56
2015-01-04 16:00:00+00:00,4946.0,-6.4,0.00,84,0.00
2015-01-04 17:00:00+00:00,4833.0,-6.5,0.00,85,0.00
2015-01-04 18:00:00+00:00,5035.0,-6.6,0.00,87,0.00
2015-01-04 19:00:00+00:00,5067.0,-6.5,0.00,89,0.00
2015-01-04 20:00:00+00:00,4753.0,-6.5,0.00,90,0.00
2015-01-04 21:00:00+00:00,5092.0,-6.6,0.00,92,0.00
2015-01-04 22:00:00+00:00,5177.0,-6.7,0.00,92,0.00
2015-01-04 23:00:00+00:00,6180.0,-6.8,0.00,92,0.00
2015-01-05 00:00:00+00:00,6005.0,-6.8,0.00,92,0.00
2015-01-05 01:00:00+00:00,5987.0,-7.0,0.00,93,0.00
2015-01-05 02:00:00+00:00,5758.0,-7.2,0.00,94,0.00
2015-01-05 03:00:00+00:00,5692.0,-7.3,0.00,94,0.00
2015-01-05 04:00:00+00:00,5979.0,-7.4,0.00,94,0.00
2015-01-05 05:00:00+00:00,6252.0,-7.3,0.00,94,0.00
2015-01-05 06:00:00+00:00,6770.0,-7.2,0.00,94,0.00
2015-01-05 07:00:00+00:00,6833.0,-6.7,0.00,93,0.00
2015-01-05 08:00:00+00:00,7129.0,-6.6,0.00,92,1141.23
2015-01-05 09:00:00+00:00,7428.0,-6.4,0.00,90,2414.92
2015-01-05 10:00:00+00:00,7268.0,-5.5,0.00,84,3224.95
2015-01-05 11:00:00+00:00,7290.0,-4.6,0.00,80,3553.01
2015-01-05 12:00:00+00:00,7423.0,-3.9,0.00,76,3156.75
2015-01-05 13:00:00+00:00,7260.0,-3.9,0.00,78,2529.77
2015-01-05 14:00:00+00:00,7390.0,-3.9,0.00,80,1709.82
2015-01-05 15:00:00+00:00,7248.0,-4.3,0.00,82,664.65
2015-01-05 16:00:00+00:00,7791.0,-4.6,0.00,82,0.00
2015-01-05 17:00:00+00:00,7560.0,-4.9,0.00,82,0.00
2015-01-05 18:00:00+00:00,7351.0,-5.1,0.00,81,0.00
2015-01-05 19:00:00+00:00,7251.0,-5.2,0.00,77,0.00
2015-01-05 20:00:00+00:00,6582.0,-5.5,0.00,74,0.00
2015-01-05 21:00:00+00:00,6429.0,-5.3,0.00,69,0.00
2015-01-05 22:00:00+00:00,6182.0,-5.4,0.00,66,0.00
2015-01-05 23:00:00+00:00,5523.0,-5.4,0.00,63,0.00
2015-01-06 00:00:00+00:00,5220.0,-5.5,0.00,61,0.00
2015-01-06 01:00:00+00:00,5015.0,-6.2,0.00,61,0.00
2015-01-06 02:00:00+00:00,4868.0,-6.7,0.00,59,0.00
2015-01-06 03:00:00+00:00,4974.0,-7.0,0.00,58,0.00
2015-01-06 04:00:00+00:00,4926.0,-7.3,0.00,57,0.00
2015-01-06 05:00:00+00:00,4742.0,-7.8,0.00,57,0.00
2015-01-06 06:00:00+00:00,5437.0,-8.3,0.00,57,0.00
2015-01-06 07:00:00+00:00,5821.0,-8.2,0.00,54,0.00
2015-01-06 08:00:00+00:00,6248.0,-8.5,0.00,54,3600.00
2015-01-06 09:00:00+00:00,6608.0,-7.3,0.00,54,3600.00
2015-01-06 10:00:00+00:00,6946.0,-4.0,0.00,56,3600.00
2015-01-06 11:00:00+00:00,6642.0,-1.2,0.00,49,3600.00
2015-01-06 12:00:00+00:00,6204.0,0.1,0.00,45,3600.00
2015-01-06 13:00:00+00:00,5994.0,0.3,0.00,48,3600.00
2015-01-06 14:00:00+00:00,6010.0,-0.3,0.00,60,3600.00
2015-01-06 15:00:00+00:00,6565.0,-1.1,0.00,63,3600.00
2015-01-06 16:00:00+00:00,7218.0,-3.2,0.00,68,492.52
2015-01-06 17:00:00+00:00,7112.0,-5.0,0.00,71,0.00
2015-01-06 18:00:00+00:00,6675.0,-6.8,0.00,73,0.00
2015-01-06 19:00:00+00:00,6040.0,-8.2,0.00,75,0.00
2015-01-06 20:00:00+00:00,5732.0,-9.8,0.00,75,0.00
2015-01-06 21:00:00+00:00,6084.0,-10.9,0.00,74,0.00
2015-01-06 22:00:00+00:00,5728.0,-11.7,0.00,73,0.00
2015-01-06 23:00:00+00:00,5973.0,-12.1,0.00,72,0.00
2015-01-07 00:00:00+00:00,5568.0,-12.4,0.00,73,0.00
2015-01-07 01:00:00+00:00,5642.0,-12.3,0.00,74,0.00
2015-01-07 02:00:00+00:00,5547.0,-12.2,0.00,71,0.00
2015-01-07 03:00:00+00:00,5846.0,-11.1,0.00,68,0.00
2015-01-07 04:00:00+00:00,6134.0,-10.3,0.00,63,0.00
2015-01-07 05:00:00+00:00,6658.0,-9.7,0.00,59,0.00
2015-01-07 06:00:00+00:00,7557.0,-9.3,0.00,57,0.00
2015-01-07 07:00:00+00:00,7301.0,-8.3,0.00,55,0.00
2015-01-07 08:00:00+00:00,7589.0,-8.2,0.00,55,3600.00
2015-01-07 09:00:00+00:00,8031.0,-6.7,0.00,55,3600.00
2015-01-07 10:00:00+00:00,8168.0,-3.9,0.00,59,3600.00
2015-01-07 11:00:00+00:00,8316.0,-1.0,0.00,52,3600.00
2015-01-07 12:00:00+00:00,8395.0,-0.4,0.00,56,3600.00
2015-01-07 13:00:00+00:00,8556.0,-0.2,0.00,62,3600.00
2015-01-07 14:00:00+00:00,8250.0,-1.2,0.00,75,2904.16
2015-01-07 15:00:00+00:00,7679.0,-1.8,0.00,81,3600.00
2015-01-07 16:00:00+00:00,8570.0,-2.8,0.00,85,0.00
2015-01-07 17:00:00+00:00,8500.0,-3.5,0.00,87,0.00
2015-01-07 18:00:00+00:00,8064.0,-4.3,0.00,89,0.00
2015-01-07 19:00:00+00:00,7256.0,-5.2,0.00,88,0.00
2015-01-07 20:00:00+00:00,6923.0,-5.7,0.00,89,0.00
2015-01-07 21:00:00+00:00,6833.0,-6.2,0.00,90,0.00
2015-01-07 22:00:00+00:00,6600.0,-6.9,0.00,90,0.00
2015-01-07 23:00:00+00:00,6651.0,-7.9,0.00,90,0.00
2015-01-08 00:00:00+00:00,6357.0,-8.7,0.00,90,0.00
2015-01-08 01:00:00+00:00,6360.0,-9.4,0.00,90,0.00
2015-01-08 02:00:00+00:00,6417.0,-10.4,0.00,89,0.00
2015-01-08 03:00:00+00:00,6302.0,-10.3,0.00,89,0.00
2015-01-08 04:00:00+00:00,6601.0,-10.6,0.00,88,0.00
2015-01-08 05:00:00+00:00,7193.0,-10.9,0.00,86,0.00
2015-01-08 06:00:00+00:00,7686.0,-11.1,0.00,85,0.00
2015-01-08 07:00:00+00:00,8061.0,-10.4,0.00,82,0.00
2015-01-08 08:00:00+00:00,8289.0,-9.9,0.00,81,3600.00
2015-01-08 09:00:00+00:00,7662.0,-7.1,0.00,73,3600.00
2015-01-08 10:00:00+00:00,7548.0,-2.6,0.00,64,3600.00
2015-01-08 11:00:00+00:00,7753.0,-0.9,0.00,61,3600.00
2015-01-08 12:00:00+00:00,7959.0,-0.2,0.00,60,3600.00
2015-01-08 13:00:00+00:00,8037.0,-0.7,0.00,70,1563.79
2015-01-08 14:00:00+00:00,7986.0,-0.6,0.00,74,1467.54
2015-01-08 15:00:00+00:00,8117.0,-1.9,0.00,81,506.52
2015-01-08 16:00:00+00:00,8256.0,-2.5,0.00,84,0.00
2015-01-08 17:00:00+00:00,8340.0,-2.7,0.00,88,0.00
2015-01-08 18:00:00+00:00,8259.0,-3.4,0.00,90,0.00
2015-01-08 19:00:00+00:00,7917.0,-5.9,0.00,85,0.00
2015-01-08 20:00:00+00:00,7268.0,-6.9,0.00,83,0.00
2015-01-08 21:00:00+00:00,7185.0,-6.5,0.00,82,0.00
2015-01-08 22:00:00+00:00,7322.0,-6.4,0.00,78,0.00
2015-01-08 23:00:00+00:00,6851.0,-4.5,0.00,72,0.00
2015-01-09 00:00:00+00:00,6560.0,-3.3,0.00,69,0.00
2015-01-09 01:00:00+00:00,6468.0,-2.0,0.00,66,0.00
2015-01-09 02:00:00+00:00,6526.0,-2.3,0.00,73,0.00
2015-01-09 03:00:00+00:00,6398.0,-2.5,0.00,79,0.00
2015-01-09 04:00:00+00:00,6978.0,-2.4,0.00,84,0.00
2015-01-09 05:00:00+00:00,7006.0,-2.3,0.00,88,0.00
2015-01-09 06:00:00+00:00,6886.0,-2.2,0.00,89,0.00
2015-01-09 07:00:00+00:00,6947.0,-2.6,0.00,91,0.00
2015-01-09 08:00:00+00:00,6750.0,-3.4,0.00,92,2609.54
2015-01-09 09:00:00+00:00,6491.0,-2.4,0.00,89,3600.00
2015-01-09 10:00:00+00:00,6067.0,-0.7,0.00,80,3600.00
2015-01-09 11:00:00+00:00,5986.0,-0.4,0.00,80,0.00
2015-01-09 12:00:00+00:00,6146.0,0.1,0.00,80,0.00
2015-01-09 13:00:00+00:00,6583.0,0.5,0.00,77,3600.00
2015-01-09 14:00:00+00:00,6228.0,0.3,0.00,79,0.00
2015-01-09 15:00:00+00:00,6776.0,0.1,0.00,80,0.00
2015-01-09 16:00:00+00:00,6768.0,-0.3,0.00,82,0.00
2015-01-09 17:00:00+00:00,6714.0,-0.8,0.00,87,0.00
2015-01-09 18:00:00+00:00,6382.0,-1.1,0.00,91,0.00
2015-01-09 19:00:00+00:00,5702.0,-0.9,0.00,91,0.00
2015-01-09 20:00:00+00:00,5410.0,-0.9,0.00,93,0.00
2015-01-09 21:00:00+00:00,5596.0,-0.9,0.00,94,0.00
2015-01-09 22:00:00+00:00,5627.0,-1.0,0.00,96,0.00
2015-01-09 23:00:00+00:00,5731.0,-1.0,0.00,97,0.00
2015-01-10 00:00:00+00:00,5658.0,-0.9,0.00,99,0.00
2015-01-10 01:00:00+00:00,4936.0,-0.8,0.20,99,0.00
2015-01-10 02:00:00+00:00,5118.0,-0.6,0.60,98,0.00
2015-01-10 03:00:00+00:00,5352.0,-0.3,0.80,98,0.00
2015-01-10 04:00:00+00:00,5493.0,0.2,0.50,97,0.00
2015-01-10 05:00:00+00:00,5650.0,0.7,0.10,95,0.00
2015-01-10 06:00:00+00:00,6385.0,1.1,0.00,94,0.00
2015-01-10 07:00:00+00:00,6803.0,2.4,0.00,88,0.00
2015-01-10 08:00:00+00:00,6964.0,3.3,0.00,87,568.92
2015-01-10 09:00:00+00:00,6717.0,4.3,0.00,82,2736.51
2015-01-10 10:00:00+00:00,6530.0,6.1,0.00,75,3600.00
2015-01-10 11:00:00+00:00,6348.0,7.1,0.00,72,3600.00
2015-01-10 12:00:00+00:00,5962.0,7.3,0.00,72,3600.00
2015-01-10 13:00:00+00:00,5782.0,6.4,0.00,76,3600.00
2015-01-10 14:00:00+00:00,5737.0,5.9,0.00,77,3600.00
2015-01-10 15:00:00+00:00,5600.0,4.9,0.00,80,3600.00
2015-01-10 16:00:00+00:00,5831.0,3.9,0.00,83,338.28
2015-01-10 17:00:00+00:00,5776.0,3.7,0.00,82,0.00
2015-01-10 18:00:00+00:00,5800.0,3.7,0.00,81,0.00
2015-01-10 19:00:00+00:00,5172.0,6.7,0.00,51,0.00
2015-01-10 20:00:00+00:00,4819.0,5.4,0.00,55,0.00
2015-01-10 21:00:00+00:00,4645.0,5.5,0.00,56,0.00
2015-01-10 22:00:00+00:00,5453.0,4.2,0.00,64,0.00
2015-01-10 23:00:00+00:00,5400.0,3.2,0.00,75,0.00
2015-01-11 00:00:00+00:00,5087.0,3.1,0.20,81,0.00
2015-01-11 01:00:00+00:00,4926.0,3.2,0.30,83,0.00
2015-01-11 02:00:00+00:00,4802.0,3.2,0.30,85,0.00
2015-01-11 03:00:00+00:00,4790.0,2.9,0.30,88,0.00
2015-01-11 04:00:00+00:00,4952.0,2.5,0.30,91,0.00
2015-01-11 05:00:00+00:00,5213.0,1.6,0.50,97,0.00
2015-01-11 06:00:00+00:00,5369.0,1.6,0.50,99,0.00
2015-01-11 07:00:00+00:00,5763.0,1.2,0.90,99,0.00
