AT_load_actual_entsoe_transparency,temperature_2m (°C),rain (mm),relative_humidity_2m (%),sunshine_duration (s),Hour,DayOfWeek,Month,Is_Weekend,Hour_sin,Hour_cos,Month_sin,Month_cos,Is_Holiday,Load_Lag_1h,Load_Lag_24h,Load_Lag_168h,Load_Rolling_Mean_24h,Temp_Rolling_Mean_24h
6357.0,-8.7,0.0,90,0.0,0,3,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,6651.0,5568.0,5946.0,7276.416666666667,-6.3125
6360.0,-9.4,0.0,90,0.0,1,3,1,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0,6357.0,5642.0,5726.0,7309.291666666667,-6.158333333333332
6417.0,-10.4,0.0,89,0.0,2,3,1,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0,6360.0,5547.0,5347.0,7339.208333333333,-6.0375000000000005
6302.0,-10.3,0.0,89,0.0,3,3,1,0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0,6417.0,5846.0,5249.0,7375.458333333333,-5.9624999999999995
6601.0,-10.6,0.0,88,0.0,4,3,1,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,6302.0,6134.0,5309.0,7394.458333333333,-5.929166666666667
7193.0,-10.9,0.0,86,0.0,5,3,1,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0,6601.0,6658.0,5574.0,7413.916666666667,-5.941666666666666
7686.0,-11.1,0.0,85,0.0,6,3,1,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0,7193.0,7557.0,5925.0,7436.208333333333,-5.991666666666667
8061.0,-10.4,0.0,82,0.0,7,3,1,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,7686.0,7301.0,6343.0,7441.583333333333,-6.066666666666666
8289.0,-9.9,0.0,81,3600.0,8,3,1,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,8061.0,7589.0,6882.0,7473.25,-6.154166666666668
7662.0,-7.1,0.0,73,3600.0,9,3,1,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0,8289.0,8031.0,6963.0,7502.416666666667,-6.224999999999999
7548.0,-2.6,0.0,64,3600.0,10,3,1,0,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0,7662.0,8168.0,7110.0,7487.041666666667,-6.241666666666667
7753.0,-0.9,0.0,61,3600.0,11,3,1,0,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0,7548.0,8316.0,7136.0,7461.208333333333,-6.1875
7959.0,-0.2,0.0,60,3600.0,12,3,1,0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0,7753.0,8395.0,7013.0,7437.75,-6.183333333333334
8037.0,-0.7,0.0,70,1563.79,13,3,1,0,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,0,7959.0,8556.0,6735.0,7419.583333333333,-6.175
7986.0,-0.6,0.0,74,1467.54,14,3,1,0,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0,8037.0,8250.0,6543.0,7397.958333333333,-6.195833333333333
8117.0,-1.9,0.0,81,506.52,15,3,1,0,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0,7986.0,7679.0,6603.0,7386.958333333333,-6.170833333333334
8256.0,-2.5,0.0,84,0.0,16,3,1,0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0,8117.0,8570.0,6735.0,7405.208333333333,-6.175
8340.0,-2.7,0.0,88,0.0,17,3,1,0,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,8256.0,8500.0,6626.0,7392.125,-6.162499999999999
8259.0,-3.4,0.0,90,0.0,18,3,1,0,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0,8340.0,8064.0,6738.0,7385.458333333333,-6.129166666666666
7917.0,-5.9,0.0,85,0.0,19,3,1,0,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0,8259.0,7256.0,6654.0,7393.583333333333,-6.091666666666668
7268.0,-6.9,0.0,83,0.0,20,3,1,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,7917.0,6923.0,6255.0,7421.125,-6.120833333333333
7185.0,-6.5,0.0,82,0.0,21,3,1,0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0,7268.0,6833.0,6221.0,7435.5,-6.170833333333333
7322.0,-6.4,0.0,78,0.0,22,3,1,0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,0,7185.0,6600.0,5864.0,7450.166666666667,-6.183333333333334
6851.0,-4.5,0.0,72,0.0,23,3,1,0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0,7322.0,6651.0,5533.0,7480.25,-6.1625000000000005
6560.0,-3.3,0.0,69,0.0,0,4,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,6851.0,6357.0,5205.0,7488.583333333333,-6.020833333333333
6468.0,-2.0,0.0,66,0.0,1,4,1,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0,6560.0,6360.0,4971.0,7497.041666666667,-5.795833333333334
6526.0,-2.3,0.0,73,0.0,2,4,1,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0,6468.0,6417.0,4669.0,7501.541666666667,-5.487500000000001
