latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.34622,13.404256,1357.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),sunshine_duration (s)
2014-12-31T00:00,-7.9,0.00,94,0.00
2014-12-31T01:00,-8.1,0.00,94,0.00
2014-12-31T02:00,-8.0,0.00,94,0.00
2014-12-31T03:00,-7.9,0.00,94,0.00
2014-12-31T04:00,-7.8,0.00,94,0.00
2014-12-31T05:00,-7.7,0.00,94,0.00
2014-12-31T06:00,-7.6,0.00,94,0.00
2014-12-31T07:00,-7.3,0.10,94,0.00
2014-12-31T08:00,-6.9,0.00,92,0.00
2014-12-31T09:00,-6.4,0.00,89,0.00
2014-12-31T10:00,-6.1,0.00,88,0.00
2014-12-31T11:00,-5.9,0.00,87,0.00
2014-12-31T12:00,-5.6,0.00,83,0.00
2014-12-31T13:00,-5.5,0.00,84,0.00
2014-12-31T14:00,-5.6,0.00,85,0.00
2014-12-31T15:00,-6.2,0.00,91,0.00
2014-12-31T16:00,-6.5,0.00,93,0.00
2014-12-31T17:00,-6.7,0.00,95,0.00
2014-12-31T18:00,-7.1,0.00,95,0.00
2014-12-31T19:00,-7.1,0.00,95,0.00
2014-12-31T20:00,-7.1,0.00,95,0.00
2014-12-31T21:00,-7.1,0.00,95,0.00
2014-12-31T22:00,-7.2,0.00,95,0.00
2014-12-31T23:00,-7.1,0.00,95,0.00
2015-01-01T00:00,-7.0,0.00,94,0.00
2015-01-01T01:00,-7.9,0.00,95,0.00
2015-01-01T02:00,-7.8,0.00,94,0.00
2015-01-01T03:00,-7.9,0.00,91,0.00
2015-01-01T04:00,-8.6,0.00,92,0.00
2015-01-01T05:00,-8.5,0.00,90,0.00
2015-01-01T06:00,-8.0,0.00,87,0.00
2015-01-01T07:00,-7.1,0.00,81,0.00
2015-01-01T08:00,-6.7,0.00,81,778.26
2015-01-01T09:00,-4.9,0.00,76,3600.00
2015-01-01T10:00,-3.2,0.00,72,3600.00
2015-01-01T11:00,-2.3,0.00,71,3600.00
2015-01-01T12:00,-2.8,0.00,79,3600.00
2015-01-01T13:00,-2.0,0.00,79,3600.00
2015-01-01T14:00,-1.5,0.00,78,2392.25
2015-01-01T15:00,-2.0,0.00,82,607.83
2015-01-01T16:00,-2.8,0.00,86,0.00
2015-01-01T17:00,-3.4,0.00,86,0.00
2015-01-01T18:00,-4.8,0.00,87,0.00
2015-01-01T19:00,-4.8,0.00,86,0.00
2015-01-01T20:00,-5.9,0.00,86,0.00
2015-01-01T21:00,-7.1,0.00,87,0.00
2015-01-01T22:00,-7.9,0.00,86,0.00
