Horizon,Method,Feature_Set,Model,CV_Fold,MAPE
6h,Standard,All Features,LinReg,1,4.3110750933765924
6h,Standard,All Features,MLP,1,6.6951133016147395
6h,Standard,All Features,LSTM,1,3.2666207903491578
6h,Standard,All Features,BiLSTM,1,3.036442123662473
6h,Standard,All Features,Transformer,1,3.0308318441884405
6h,Standard,All Features,LinReg,2,4.209185626246522
6h,Standard,All Features,MLP,2,5.343706701199083
6h,Standard,All Features,LSTM,2,2.609926989237303
6h,Standard,All Features,BiLSTM,2,2.4436281137435754
6h,Standard,All Features,Transformer,2,2.458992436881776
6h,Standard,All Features,LinReg,3,4.467377341999796
6h,Standard,All Features,MLP,3,5.328600977504649
6h,Standard,All Features,LSTM,3,2.8754156551926813
6h,Standard,All Features,BiLSTM,3,2.373733102016553
6h,Standard,All Features,Transformer,3,2.5695905057126844
6h,Standard,Load Only,LinReg,1,13.651603975877673
6h,Standard,Load Only,MLP,1,11.219675235828383
6h,Standard,Load Only,LSTM,1,13.953133552330202
6h,Standard,Load Only,BiLSTM,1,12.548995455784434
6h,Standard,Load Only,Transformer,1,11.232543545616632
6h,Standard,Load Only,LinReg,2,13.280893206992502
6h,Standard,Load Only,MLP,2,10.97124653175328
6h,Standard,Load Only,LSTM,2,12.992820117378578
6h,Standard,Load Only,BiLSTM,2,12.128476289669422
6h,Standard,Load Only,Transformer,2,11.804769576155778
6h,Standard,Load Only,LinReg,3,13.726338531667508
6h,Standard,Load Only,MLP,3,10.980906833905525
6h,Standard,Load Only,LSTM,3,12.218699472848092
6h,Standard,Load Only,BiLSTM,3,12.22043731818641
6h,Standard,Load Only,Transformer,3,10.630525071716244
6h,VMD,All Features,LinReg,1,4.3110750933765924
6h,VMD,All Features,MLP,1,9.75572385596103
6h,VMD,All Features,LSTM,1,3.523276726725105
6h,VMD,All Features,BiLSTM,1,3.131098450400602
6h,VMD,All Features,Transformer,1,2.7912047531678352
6h,VMD,All Features,LinReg,2,4.209185626246522
6h,VMD,All Features,MLP,2,3.9756546030305637
